center_mb	gc_percent	unique_tss	wolf_snp_count	dog_snp_count	campbell_pedigree	wolf_ld	dog_ld
0.050224	49.61548490397383	0	8277.0	9816.0	0.0	4.853562363273536e-08	5.62105763631104e-08
0.150224	42.072123190546485	0	3288.0	3670.0	0.0	4.586890292005958e-08	5.776128533265556e-08
0.250224	39.156439453125	0	1508.0	1533.0	0.0	9.0546123688464e-09	2.8257983857650163e-08
0.350224	38.92702734375	1	602.0	526.0	0.0	4.500355676008358e-09	1.2513825205709567e-08
0.450224	42.81921593088871	1	748.0	706.0	0.0	5.120696952764028e-09	2.8779107257510695e-08
0.550224	47.30522145226884	0	689.0	499.0	0.0	3.2642246273835267e-09	1.1769555530080563e-08
0.650224	45.44408714277396	8	762.0	614.0	0.0	4.658311968551293e-09	1.2128593421830181e-08
0.750224	51.01362303092141	11	700.0	392.0	0.0	2.3499273670105242e-09	6.570905870608226e-09
0.850224	57.56383058625108	1	983.0	450.0	0.0	2.4279800473344346e-09	2.7055069688289997e-09
0.950224	55.702697544040234	5	893.0	464.0	0.0	2.098961686171144e-09	3.289345861863871e-09
1.050224	57.664091796875	1	901.0	482.0	0.0	1.494524514575879e-09	2.092964569496529e-09
1.150224	53.10066582300294	6	806.0	361.0	0.0	3.987387842121562e-09	8.785603312100183e-09
1.250224	41.54296875	0	607.0	194.0	0.0	7.290616363975211e-10	8.335660774093193e-09
1.350224	42.2522265625	5	630.0	303.0	0.0	6.094848173435197e-10	4.058543488527217e-09
1.450224	51.103042980958584	3	803.0	458.0	0.0	8.464028796695451e-10	3.3153252597788867e-09
1.550224	52.285691491740316	1	806.0	438.0	0.0	7.91304519791175e-10	3.589205724816441e-09
1.650224	49.719584032370335	0	734.0	314.0	0.0	7.002077705126584e-10	3.091187240214059e-09
1.750224	47.752175166152156	0	733.0	348.0	0.0	2.0107915611784765e-09	5.607692076151291e-09
1.850224	48.676642942479404	2	757.0	366.0	0.0	2.2160866705997657e-09	5.031104879564021e-09
1.950224	44.5063095703125	0	751.0	428.0	0.0	1.6201876419833645e-09	9.030845434384107e-10
2.050224	46.05679532611656	0	820.0	465.0	0.0	1.9167870032870716e-09	1.390973336668523e-09
2.150224	44.43893579755558	1	761.0	511.0	0.0	9.207847742660584e-10	9.704665872407523e-10
2.250224	45.103642543274646	0	698.0	512.0	0.0	2.0471742203770523e-09	2.6046100268881793e-09
2.350224	42.35004233269892	13	587.0	446.0	0.0	1.3631407228226374e-09	2.5934140492338278e-09
2.450224	44.07765025915043	3	885.0	525.0	0.0	1.6411133304957034e-09	3.229830618094315e-09
2.550224	43.3112119140625	4	947.0	465.0	0.0	1.2232234633873137e-09	1.5529907533406995e-09
2.650224	42.09470703125	0	888.0	471.0	0.0	1.3397600085488133e-09	2.916773098610853e-10
2.750224	44.757916015625	5	742.0	370.0	0.0	2.5100965777507916e-09	3.423710274654684e-10
