replicate,species,window_bp,metric,value
0,wolf,100000,pearson,0.5652457544688305
0,wolf,100000,log_pearson,0.3959174224687282
0,wolf,100000,spearman,0.3615309050575421
0,dog,100000,pearson,0.46363095445088226
0,dog,100000,log_pearson,0.36254474789532587
0,dog,100000,spearman,0.31982328947850147
0,wolf,200000,pearson,0.6570878293774398
0,wolf,200000,log_pearson,0.4468054358725945
0,wolf,200000,spearman,0.4198223541239562
0,dog,200000,pearson,0.5467763801355509
0,dog,200000,log_pearson,0.3908052498956539
0,dog,200000,spearman,0.36061360247176955
0,wolf,500000,pearson,0.7520696865178096
0,wolf,500000,log_pearson,0.4880942425204015
0,wolf,500000,spearman,0.474478973751765
0,dog,500000,pearson,0.6341272038737171
0,dog,500000,log_pearson,0.42475942177107817
0,dog,500000,spearman,0.3985684811257302
0,wolf,1000000,pearson,0.8616028112495072
0,wolf,1000000,log_pearson,0.5460136403663478
0,wolf,1000000,spearman,0.5687849914510585
0,dog,1000000,pearson,0.7762559988686282
0,dog,1000000,log_pearson,0.47593927685978343
0,dog,1000000,spearman,0.4839619161831988
1,wolf,100000,pearson,0.5523669646900923
1,wolf,100000,log_pearson,0.39600609834876277
1,wolf,100000,spearman,0.3645332162894677
1,dog,100000,pearson,0.4808373679527703
1,dog,100000,log_pearson,0.36836166799586345
1,dog,100000,spearman,0.32398616194720703
1,wolf,200000,pearson,0.6509880952771286
1,wolf,200000,log_pearson,0.44360457846293094
1,wolf,200000,spearman,0.4252545663072225
1,dog,200000,pearson,0.570353650104999
1,dog,200000,log_pearson,0.3988375774740685
1,dog,200000,spearman,0.36223800095484354
1,wolf,500000,pearson,0.7395604761731469
1,wolf,500000,log_pearson,0.4890470812705238
1,wolf,500000,spearman,0.4888168315575975
1,dog,500000,pearson,0.688064868435137
1,dog,500000,log_pearson,0.4422633843403464
1,dog,500000,spearman,0.41373937286083273
1,wolf,1000000,pearson,0.8583737084897479
1,wolf,1000000,log_pearson,0.5504858757564215
1,wolf,1000000,spearman,0.5882797635073677
1,dog,1000000,pearson,0.7846077046517269
1,dog,1000000,log_pearson,0.4838878112325691
1,dog,1000000,spearman,0.4773707939640165
2,wolf,100000,pearson,0.5643126871222721
