replicate,species,window_bp,metric,value
0,wolf,100000,pearson,0.5731807740752748
0,wolf,100000,log_pearson,0.38596273498939454
0,wolf,100000,spearman,0.3405797222263546
0,dog,100000,pearson,0.5518368299644066
0,dog,100000,log_pearson,0.33944176075646976
0,dog,100000,spearman,0.27600058945014105
0,wolf,200000,pearson,0.6544891356440684
0,wolf,200000,log_pearson,0.43596964201616173
0,wolf,200000,spearman,0.4051664532751239
0,dog,200000,pearson,0.6174615398777612
0,dog,200000,log_pearson,0.3621340232844463
0,dog,200000,spearman,0.3151143263714957
0,wolf,500000,pearson,0.7583599189180759
0,wolf,500000,log_pearson,0.46850851353624945
0,wolf,500000,spearman,0.4554659972280729
0,dog,500000,pearson,0.7352127245063086
0,dog,500000,log_pearson,0.3938322700786294
0,dog,500000,spearman,0.3252583552404109
0,wolf,1000000,pearson,0.8535351110839337
0,wolf,1000000,log_pearson,0.5038634698157951
0,wolf,1000000,spearman,0.5461567397348931
0,dog,1000000,pearson,0.8221627887374156
0,dog,1000000,log_pearson,0.4097075584219041
0,dog,1000000,spearman,0.4077723443138243
1,wolf,100000,pearson,0.5780004377337571
1,wolf,100000,log_pearson,0.3944598617770092
1,wolf,100000,spearman,0.35021966240974683
1,dog,100000,pearson,0.563650656570578
1,dog,100000,log_pearson,0.3495217681601531
1,dog,100000,spearman,0.2865433542608169
1,wolf,200000,pearson,0.656097770422842
1,wolf,200000,log_pearson,0.4480123172774045
1,wolf,200000,spearman,0.41700092759574764
1,dog,200000,pearson,0.632311938037346
1,dog,200000,log_pearson,0.3810388843433874
1,dog,200000,spearman,0.33239566701498474
1,wolf,500000,pearson,0.7606165226308857
1,wolf,500000,log_pearson,0.4936509454034277
1,wolf,500000,spearman,0.4759716984544919
1,dog,500000,pearson,0.7445882718782018
1,dog,500000,log_pearson,0.4168869768308374
1,dog,500000,spearman,0.35190979989360693
1,wolf,1000000,pearson,0.8622654569955607
1,wolf,1000000,log_pearson,0.5365136359957635
1,wolf,1000000,spearman,0.5768195546814594
1,dog,1000000,pearson,0.8277900838725452
1,dog,1000000,log_pearson,0.4202938344030212
1,dog,1000000,spearman,0.4189403872040816
2,wolf,100000,pearson,0.5820917693870493
2,wolf,100000,log_pearson,0.39284069524917
2,wolf,100000,spearman,0.34463221795338816
2,dog,100000,pearson,0.5610825737571676
2,dog,100000,log_pearson,0.3493238491619343
2,dog,100000,spearman,0.28452574977453104
2,wolf,200000,pearson,0.660578229047454
2,wolf,200000,log_pearson,0.4440261208110433
2,wolf,200000,spearman,0.4081170421817915
2,dog,200000,pearson,0.6302613286426751
2,dog,200000,log_pearson,0.37503881728705196
2,dog,200000,spearman,0.32148452431661967
2,wolf,500000,pearson,0.7646819953132757
2,wolf,500000,log_pearson,0.48894614952727344
2,wolf,500000,spearman,0.47062914610392376
2,dog,500000,pearson,0.7415508953011438
2,dog,500000,log_pearson,0.4015222351798943
2,dog,500000,spearman,0.3351253773872333
2,wolf,1000000,pearson,0.8624687683588503
2,wolf,1000000,log_pearson,0.5292648476550501
2,wolf,1000000,spearman,0.5673168576244125
2,dog,1000000,pearson,0.8180309668372638
2,dog,1000000,log_pearson,0.39442767804217704
2,dog,1000000,spearman,0.40615082337096164
3,wolf,100000,pearson,0.5911145763800154
3,wolf,100000,log_pearson,0.4018166847687972
3,wolf,100000,spearman,0.3593448719284937
3,dog,100000,pearson,0.5526688524961058
3,dog,100000,log_pearson,0.33631979646117066
3,dog,100000,spearman,0.271050294782561
3,wolf,200000,pearson,0.6669063092136212
3,wolf,200000,log_pearson,0.4519231856137905
3,wolf,200000,spearman,0.4218979965560441
3,dog,200000,pearson,0.6203258678163023
3,dog,200000,log_pearson,0.3619577197108767
3,dog,200000,spearman,0.30848354030393965
3,wolf,500000,pearson,0.7651905703552242
3,wolf,500000,log_pearson,0.4911629902197861
3,wolf,500000,spearman,0.4801698366974002
3,dog,500000,pearson,0.735877619819595
3,dog,500000,log_pearson,0.39655554257239
3,dog,500000,spearman,0.3252400983102617
3,wolf,1000000,pearson,0.8599993413080117
3,wolf,1000000,log_pearson,0.534428333877635
3,wolf,1000000,spearman,0.5745114437898171
3,dog,1000000,pearson,0.8137129802594775
3,dog,1000000,log_pearson,0.3931545205470328
3,dog,1000000,spearman,0.3872111665923893
4,wolf,100000,pearson,0.5831048106472055
4,wolf,100000,log_pearson,0.3916318089098975
4,wolf,100000,spearman,0.3447302350718633
4,dog,100000,pearson,0.5639351563293397
4,dog,100000,log_pearson,0.33607185455223304
4,dog,100000,spearman,0.27141827371965416
4,wolf,200000,pearson,0.6631748033259448
4,wolf,200000,log_pearson,0.4462628519709808
4,wolf,200000,spearman,0.4167810671422989
4,dog,200000,pearson,0.6321584854179481
4,dog,200000,log_pearson,0.3651345514566302
4,dog,200000,spearman,0.31405624067260085
4,wolf,500000,pearson,0.762514931151044
4,wolf,500000,log_pearson,0.487140675918991
4,wolf,500000,spearman,0.47218102391907657
4,dog,500000,pearson,0.7444524073863625
4,dog,500000,log_pearson,0.4068745774945814
4,dog,500000,spearman,0.3419251533731162
4,wolf,1000000,pearson,0.8588168040442784
4,wolf,1000000,log_pearson,0.5281839888183052
4,wolf,1000000,spearman,0.5714510056138735
4,dog,1000000,pearson,0.8270770079707401
4,dog,1000000,log_pearson,0.41452742480138577
4,dog,1000000,spearman,0.41246160758102196
5,wolf,100000,pearson,0.5805757840436789
5,wolf,100000,log_pearson,0.38892994944312587
5,wolf,100000,spearman,0.34266178938004943
5,dog,100000,pearson,0.555693950272844
5,dog,100000,log_pearson,0.34463960915584574
5,dog,100000,spearman,0.28057690650536377
5,wolf,200000,pearson,0.6561372795237852
5,wolf,200000,log_pearson,0.43691761853360733
5,wolf,200000,spearman,0.4035449969642851
5,dog,200000,pearson,0.6287931859651302
5,dog,200000,log_pearson,0.3709023600480937
5,dog,200000,spearman,0.3197738623299964
5,wolf,500000,pearson,0.7645662983718429
5,wolf,500000,log_pearson,0.4845647755196443
5,wolf,500000,spearman,0.4657824013620307
5,dog,500000,pearson,0.7410012834223845
5,dog,500000,log_pearson,0.40377974553845675
5,dog,500000,spearman,0.3372064171410992
5,wolf,1000000,pearson,0.8604347486778595
5,wolf,1000000,log_pearson,0.5202890404904198
5,wolf,1000000,spearman,0.5676017194116721
5,dog,1000000,pearson,0.8230034102798076
5,dog,1000000,log_pearson,0.4007760267970223
5,dog,1000000,spearman,0.40417870330531774
6,wolf,100000,pearson,0.5773923080822938
6,wolf,100000,log_pearson,0.3896190158264764
6,wolf,100000,spearman,0.3458377627468392
6,dog,100000,pearson,0.5517465528329902
6,dog,100000,log_pearson,0.3297557969957092
6,dog,100000,spearman,0.26470789816729573
6,wolf,200000,pearson,0.6585863023283535
6,wolf,200000,log_pearson,0.44318840241119595
6,wolf,200000,spearman,0.41088860933637156
6,dog,200000,pearson,0.6152093194888228
6,dog,200000,log_pearson,0.3540949495975855
6,dog,200000,spearman,0.2991405845285211
6,wolf,500000,pearson,0.7643151238372912
6,wolf,500000,log_pearson,0.4915081005761798
6,wolf,500000,spearman,0.4747583220158072
6,dog,500000,pearson,0.7308430944429751
6,dog,500000,log_pearson,0.38406633057800693
6,dog,500000,spearman,0.31380732865230065
6,wolf,1000000,pearson,0.8632850885299251
6,wolf,1000000,log_pearson,0.5373625632963478
6,wolf,1000000,spearman,0.5705087704713991
6,dog,1000000,pearson,0.8141932618567642
6,dog,1000000,log_pearson,0.39759027909304745
6,dog,1000000,spearman,0.4057856159513979
7,wolf,100000,pearson,0.5757207022544408
7,wolf,100000,log_pearson,0.38828802423115477
7,wolf,100000,spearman,0.33718525683230083
7,dog,100000,pearson,0.5462092305571064
7,dog,100000,log_pearson,0.3333595103976173
