cohort	release_population	sample_id	selection_order
colu_AO	AOcol	AR0007-C	0
colu_AO	AOcol	AR0009-C	1
colu_AO	AOcol	AR0011-C	2
colu_AO	AOcol	AR0013-C	3
colu_AO	AOcol	AR0015-C	4
colu_AO	AOcol	AR0017-C	5
colu_AO	AOcol	AR0021-C	6
colu_AO	AOcol	AR0023-C	7
colu_AO	AOcol	AR0027-C	8
colu_AO	AOcol	AR0034-C	9
colu_AO	AOcol	AR0040-C	10
colu_AO	AOcol	AR0042-C	11
colu_AO	AOcol	AR0046-C	12
colu_AO	AOcol	AR0048-C	13
colu_AO	AOcol	AR0049-C	14
colu_AO	AOcol	AR0051-C	15
colu_AO	AOcol	AR0052-C	16
colu_AO	AOcol	AR0054-C	17
colu_AO	AOcol	AR0057-C	18
colu_AO	AOcol	AR0059-C	19
colu_AO	AOcol	AR0063-C	20
colu_AO	AOcol	AR0065-C	21
colu_AO	AOcol	AR0066-C	22
colu_AO	AOcol	AR0070-C	23
colu_AO	AOcol	AR0072-C	24
colu_AO	AOcol	AR0075-C	25
colu_AO	AOcol	AR0078-C	26
colu_AO	AOcol	AR0079-C	27
colu_AO	AOcol	AR0080-C	28
colu_AO	AOcol	AR0082-C	29
colu_AO	AOcol	AR0083-C	30
colu_AO	AOcol	AR0084-C	31
colu_AO	AOcol	AR0085-C	32
colu_AO	AOcol	AR0087-C	33
colu_AO	AOcol	AR0088-C	34
colu_AO	AOcol	AR0089-C	35
colu_AO	AOcol	AR0090-C	36
colu_AO	AOcol	AR0095-C	37
colu_AO	AOcol	AR0099-C	38
colu_AO	AOcol	AR0100-C	39
colu_BF	BFcol	AB0087-C	0
colu_BF	BFcol	AB0090-C	1
colu_BF	BFcol	AB0092-C	2
colu_BF	BFcol	AB0094-C	3
colu_BF	BFcol	AB0095-C	4
colu_BF	BFcol	AB0097-C	5
colu_BF	BFcol	AB0099-C	6
colu_BF	BFcol	AB0109-C	7
colu_BF	BFcol	AB0110-C	8
colu_BF	BFcol	AB0111-C	9
colu_BF	BFcol	AB0112-C	10
colu_BF	BFcol	AB0113-C	11
colu_BF	BFcol	AB0115-C	12
colu_BF	BFcol	AB0140-C	13
colu_BF	BFcol	AB0182-C	14
colu_BF	BFcol	AB0184-C	15
colu_BF	BFcol	AB0185-C	16
colu_BF	BFcol	AB0186-C	17
colu_BF	BFcol	AB0187-C	18
colu_BF	BFcol	AB0188-C	19
colu_BF	BFcol	AB0189-C	20
colu_BF	BFcol	AB0190-C	21
colu_BF	BFcol	AB0191-C	22
colu_BF	BFcol	AB0192-C	23
colu_BF	BFcol	AB0209-C	24
colu_BF	BFcol	AB0210-C	25
colu_BF	BFcol	AB0212-C	26
colu_BF	BFcol	AB0219-C	27
colu_BF	BFcol	AB0227-C	28
colu_BF	BFcol	AB0229-C	29
colu_BF	BFcol	AB0234-C	30
colu_BF	BFcol	AB0246-C	31
colu_BF	BFcol	AB0247-C	32
colu_BF	BFcol	AB0249-C	33
colu_BF	BFcol	AB0250-C	34
colu_BF	BFcol	AB0257-C	35
colu_BF	BFcol	AB0258-C	36
colu_BF	BFcol	AB0266-C	37
