arm	start	end	events	exposure_bp	marker_span_fraction	direct_normalized	atlas_normalized	supported
2R	0	5000000	11.0	1295816038.0	0.8024950306603773	3.1254532291975146	2.3081797322275355	True
2R	5000000	10000000	11.0	1251309583.0	0.7938154650943396	3.2366190393133345	2.3283047062353104	False
2R	10000000	15000000	7.0	1182465469.0	0.7793971924528302	2.1795821516475318	2.417733919343063	False
2R	15000000	20000000	6.0	1181738903.0	0.7837945919811321	1.869361902408025	1.8080448078070324	False
2R	20000000	25000000	8.0	1078000696.0	0.7479649316037735	2.7323392177867416	1.1198120516773131	False
2R	25000000	30000000	6.0	1188773707.0	0.7728271410377359	1.8582995828840723	0.704748002380322	False
2R	30000000	35000000	9.0	1270018290.0	0.7881609160377359	2.6091329171271056	1.0225232744994857	False
2R	35000000	40000000	8.0	1466530357.0	0.8436666726415094	2.0084572845171613	0.5324353675824012	True
2R	40000000	45000000	1.0	1669712822.0	0.9119395433962264	0.22050674969918593	0.4803901033630032	True
2R	45000000	50000000	2.0	1590680954.0	0.8812792816037736	0.46292494592888095	0.2306638955619382	True
2R	50000000	55000000	4.0	1554355497.0	0.8768295047169812	0.9474871045160278	0.2206325328020561	True
2R	55000000	60000000	1.0	1565598814.0	0.8667081948113208	0.23517068614122966	0.20128318371300472	True
2R	60000000	61545105	0.0	451753885.0	0.8504228814393942	0.0	0.01674640000873801	True
2L	0	5000000	2.0	1426202606.0	0.8165805787735849	0.5884182629634648	0.0761992353301306	True
2L	5000000	10000000	3.0	1804785029.0	0.9331948202830189	0.6974822318767862	0.39415974906431384	True
2L	10000000	15000000	6.0	1739541855.0	0.916978658490566	1.4472839345216333	0.8602130361521175	True
2L	15000000	20000000	5.0	1631751772.0	0.8947443297169811	1.285740384133143	1.104968491625778	True
2L	20000000	25000000	5.0	1469080349.0	0.839325604245283	1.4281105533603573	0.5908204438181605	True
2L	25000000	30000000	3.0	1445910114.0	0.8445318235849056	0.870597333745969	0.6291915895819494	True
2L	30000000	35000000	3.0	1482159946.0	0.8479920240566038	0.8493047551864757	0.9713453612447638	True
2L	35000000	40000000	2.0	1467650269.0	0.8372275575471698	0.5718008423275714	0.6808364689199274	True
2L	40000000	45000000	8.0	1484487460.0	0.8494369051886792	2.2612617018846	1.4751100233675505	True
2L	45000000	49364325	0.0	1218051280.0	0.8114048358858148	0.0	2.423873095596146	True
3R	0	5000000	5.0	1168292498.0	0.7784367245283019	0.9380125081782107	1.6669057847049291	False
3R	5000000	10000000	11.0	1114690781.0	0.7441613783018868	2.1628603995214055	1.5001880748252208	False
3R	10000000	15000000	9.0	1130746471.0	0.7502757259433962	1.7444859727557627	1.9312822093964483	False
3R	15000000	20000000	8.0	1211182246.0	0.7840957273584905	1.4476737649732916	1.69848158867146	False
3R	20000000	25000000	15.0	1383528339.0	0.8211981825471698	2.376257020785392	1.795075862653592	True
3R	25000000	30000000	13.0	1342445020.0	0.813671145754717	2.122447993043614	0.675405770592278	True
3R	30000000	35000000	10.0	1392982245.0	0.8315409740566038	1.5734198770563184	0.9730578778396572	True
3R	35000000	40000000	3.0	1297469790.0	0.809397658490566	0.506773869317497	0.5956742497273513	True
3R	40000000	45000000	2.0	1574326373.0	0.8725261056603774	0.2784360333738161	0.16271799371331752	True
3R	45000000	50000000	1.0	1536286252.0	0.850793458018868	0.1426652064233622	0.09464814155124529	True
3R	50000000	53200684	0.0	1049400577.0	0.879663415046449	0.0	0.053399121329061924	True
3L	0	5000000	0.0	1402901201.0	0.8226880509433963	0.0	0.016683837588824756	True
3L	5000000	10000000	1.0	1740295360.0	0.9210793509433962	0.12357349520242622	0.05053116385018316	True
3L	10000000	15000000	1.0	1550859228.0	0.872975091509434	0.1386678922477705	0.30414586999507165	True
3L	15000000	20000000	10.0	1461131978.0	0.8489355160377359	1.471834054403021	0.8367514732173245	True
3L	20000000	25000000	9.0	1395611899.0	0.8495830787735849	1.3868392955553908	1.0961457066986435	True
3L	25000000	30000000	7.0	1303350067.0	0.8051219169811321	1.1550086967067705	1.6736712871648618	True
3L	30000000	35000000	8.0	1303639571.0	0.8030056377358491	1.3197167996660304	1.8788453759799721	True
3L	35000000	40000000	15.0	1341652672.0	0.8051734099056603	2.4043597662185916	1.63269338207475	True
3L	40000000	41963435	5.0	537323522.0	0.7953006753998852	2.001162907584051	1.6091835490047002	False
