accession	species	assigned_population	real_population
25	nemorensis	nemorensis_sympatric	Rhine
29	nemorensis	nemorensis_sympatric	Rhine
30	nemorensis	nemorensis_sympatric	Rhine
163	nemorensis	nemorensis_allopatric	Adl-4
233	nemorensis	nemorensis_allopatric	Deg-1
293	nemorensis	nemorensis_allopatric	Con-1
309	nemorensis	nemorensis_allopatric	Con-2
337	nemorensis	nemorensis_sympatric	Rhine
358	nemorensis	nemorensis_sympatric	Rhine
393	nemorensis	nemorensis_allopatric	GDB
435	nemorensis	nemorensis_allopatric	Alp
10	nemorensis	nemorensis_sympatric	Rhine
19	sagittata	sagittata_sympatric	Rhine
34	sagittata	sagittata_sympatric	Rhine
72	sagittata	sagittata_sympatric	Rhine
94	sagittata	sagittata_sympatric	Rhine
114	sagittata	sagittata_sympatric	Rhine
116	sagittata	sagittata_sympatric	Rhine
173	sagittata	sagittata_allopatric	Adl-1
174	sagittata	sagittata_allopatric	Lob
175	sagittata	sagittata_allopatric	Adl-1
176	sagittata	sagittata_allopatric	Adl-1
177	sagittata	sagittata_allopatric	Adl-1
261	sagittata	sagittata_allopatric	Lob
267	sagittata	sagittata_allopatric	Lob
271	sagittata	sagittata_allopatric	Lob
272	sagittata	sagittata_allopatric	Lob
277	sagittata	sagittata_allopatric	Lob
323	sagittata	sagittata_sympatric	Rhine
325	sagittata	sagittata_sympatric	Rhine
326	sagittata	sagittata_sympatric	Rhine
344	sagittata	sagittata_sympatric	Rhine
359	sagittata	sagittata_sympatric	Rhine
360	sagittata	sagittata_sympatric	Rhine
370	sagittata	sagittata_sympatric	Rhine
380	sagittata	sagittata_sympatric	Rhine
69	sagittata	sagittata_sympatric	Rhine
