chrom	start	end	nSites	recombRate
b'chr1'	0	3037000	1650	1.8928395096759637e-08
b'chr1'	3037000	6074000	1697	1.1982097080319344e-08
b'chr1'	6074000	9111000	1750	1.5192871703339268e-08
b'chr1'	9111000	10000000	559	8.998420046325893e-09
b'chr2'	0	2939000	1619	1.3665842346423458e-08
b'chr2'	2939000	5878000	1749	1.1417926016271135e-08
b'chr2'	5878000	8817000	1707	1.2435426874860278e-08
b'chr2'	8817000	10000000	723	6.924695715532203e-09
b'chr3'	0	2944000	1634	1.5199704740504947e-08
b'chr3'	2944000	5888000	1750	1.1986229189573101e-08
b'chr3'	5888000	8832000	1669	1.0245544016764894e-08
b'chr3'	8832000	10000000	640	1.0020956427987605e-08
b'chr4'	0	2818000	1504	1.0944712580300453e-08
b'chr4'	2818000	5636000	1673	1.2731658128758719e-08
b'chr4'	5636000	8454000	1751	1.2023786833994313e-08
b'chr4'	8454000	10000000	936	5.96529818058393e-09
b'chr5'	0	2885000	1637	9.211959442911742e-09
b'chr5'	2885000	5770000	1732	1.4341965320163413e-08
b'chr5'	5770000	8655000	1750	8.934609848278024e-09
b'chr5'	8655000	10000000	810	9.128154617028547e-09
b'chr6'	0	2930000	1750	1.1303229715459689e-08
b'chr6'	2930000	5860000	1685	1.2399089304771692e-08
b'chr6'	5860000	8790000	1717	8.09833892419272e-09
b'chr6'	8790000	10000000	670	6.313103187283294e-09
b'chr7'	0	2942000	1750	1.866297188395309e-08
b'chr7'	2942000	5884000	1737	9.737290697909284e-09
b'chr7'	5884000	8826000	1705	6.747392216173889e-09
b'chr7'	8826000	10000000	648	1.0627801376915472e-08
b'chr8'	0	2723000	1687	2.1044227029522714e-08
b'chr8'	2723000	5446000	1752	1.0283308111423052e-08
b'chr8'	5446000	8169000	1736	8.678142772724243e-09
b'chr8'	8169000	10000000	1112	6.767133826049648e-09
b'chr9'	0	2872000	1735	1.4059880564268019e-08
b'chr9'	2872000	5744000	1749	1.2960624635719646e-08
b'chr9'	5744000	8616000	1616	1.1752091337015296e-08
b'chr9'	8616000	10000000	803	1.110112269477689e-08
b'chr10'	0	2693000	1586	7.947437771302152e-09
b'chr10'	2693000	5386000	1750	8.445853658754425e-09
b'chr10'	5386000	8079000	1630	1.1315144067291848e-08
b'chr10'	8079000	10000000	1060	6.642689348636553e-09
b'chr11'	0	2719000	1651	9.613004550753094e-09
b'chr11'	2719000	5438000	1740	1.2326062578288745e-08
b'chr11'	5438000	8157000	1751	1.320715493539517e-08
b'chr11'	8157000	10000000	1088	1.0369844910366581e-08
b'chr12'	0	2729000	1750	9.986811421505682e-09
b'chr12'	2729000	5458000	1628	9.859133591885382e-09
b'chr12'	5458000	8187000	1581	7.090021996632825e-09
b'chr12'	8187000	10000000	1108	8.727520081274955e-09
b'chr13'	0	2889000	1729	1.635080335045237e-08
b'chr13'	2889000	5778000	1749	8.840384718330041e-09
b'chr13'	5778000	8667000	1626	9.120064251352146e-09
b'chr13'	8667000	10000000	722	9.30198571653688e-09
b'chr14'	0	2909000	1612	8.055921937916179e-09
b'chr14'	2909000	5818000	1751	1.1273594792913448e-08
b'chr14'	5818000	8727000	1678	6.087164358421336e-09
b'chr14'	8727000	10000000	721	6.688356761951923e-09
b'chr15'	0	2732000	1686	9.301537114142314e-09
b'chr15'	2732000	5464000	1540	1.403183592944923e-08
b'chr15'	5464000	8196000	1750	1.3294470967563862e-08
b'chr15'	8196000	10000000	1112	9.977598773714154e-09
b'chr16'	0	2883000	1632	7.216040463070453e-09
b'chr16'	2883000	5766000	1751	7.51483759848522e-09
b'chr16'	5766000	8649000	1653	9.329170400744633e-09
b'chr16'	8649000	10000000	885	1.151862871643547e-08
b'chr17'	0	3010000	1750	1.764525836609732e-08
b'chr17'	3010000	6020000	1649	1.0671578140692497e-08
b'chr17'	6020000	9030000	1729	1.1307015671308642e-08
b'chr17'	9030000	10000000	547	5.3628111943645235e-09
b'chr18'	0	2926000	1750	1.0088655030874188e-08
b'chr18'	2926000	5852000	1642	1.2122303179581669e-08
b'chr18'	5852000	8778000	1711	7.633742069164036e-09
b'chr18'	8778000	10000000	722	9.75786121324767e-09
b'chr19'	0	2908000	1752	1.6459700029475936e-08
b'chr19'	2908000	5816000	1702	1.5896700919780313e-08
b'chr19'	5816000	8724000	1669	1.1166814228818579e-08
b'chr19'	8724000	10000000	796	1.0136289154341518e-08
b'chr20'	0	2945000	1743	8.808470305761584e-09
b'chr20'	2945000	5890000	1690	1.167052020956041e-08
b'chr20'	5890000	8835000	1751	7.732647255235264e-09
b'chr20'	8835000	10000000	696	7.994960132235194e-09
