chrom	start	end	nSites	recombRate
b'chr1'	0	2469000	1751	4.442537612655195e-09
b'chr1'	2469000	4938000	1662	4.831620248684348e-09
b'chr1'	4938000	7407000	1672	4.618591475800673e-09
b'chr1'	7407000	9876000	1713	5.888678576671633e-09
b'chr1'	9876000	10000000	85	4.310161099822603e-09
b'chr2'	0	2505000	1653	1.0673578719394614e-08
b'chr2'	2505000	5010000	1683	7.49975510134861e-09
b'chr2'	5010000	7515000	1751	1.1051326150835252e-08
b'chr2'	7515000	10000000	1736	1.1487688478220685e-08
b'chr3'	0	2254000	1630	6.290297381608351e-09
b'chr3'	2254000	4508000	1718	3.779763155872942e-09
b'chr3'	4508000	6762000	1548	8.256661759601264e-09
b'chr3'	6762000	9016000	1748	3.470135127058321e-09
b'chr3'	9016000	10000000	708	5.666621598672612e-09
b'chr4'	0	2024000	1507	2.896543309240391e-09
b'chr4'	2024000	4048000	1751	1.029541619322482e-09
b'chr4'	4048000	6072000	1358	1.375900611997995e-09
b'chr4'	6072000	8096000	1611	7.162749390986936e-09
b'chr4'	8096000	10000000	1484	3.3204207956969695e-09
b'chr5'	0	2227000	1551	2.3127090760580766e-09
b'chr5'	2227000	4454000	1750	1.3557844596539362e-09
b'chr5'	4454000	6681000	1584	1.3934051084791221e-09
b'chr5'	6681000	8908000	1668	1.1176314134732126e-10
b'chr5'	8908000	10000000	689	2.675859492650282e-09
b'chr6'	0	2178000	1750	4.496855860059648e-09
b'chr6'	2178000	4356000	1560	9.588593555679461e-09
b'chr6'	4356000	6534000	1648	1.781815256961225e-08
b'chr6'	6534000	8712000	1496	8.454545467283191e-09
b'chr6'	8712000	10000000	944	1.3209413775237474e-08
b'chr7'	0	2173000	1750	3.1881160316518204e-09
b'chr7'	2173000	4346000	1605	9.921749667637937e-09
b'chr7'	4346000	6519000	1524	7.125100042646772e-09
b'chr7'	6519000	8692000	1632	1.2164035873889057e-08
b'chr7'	8692000	10000000	936	1.1075583863956026e-08
b'chr8'	0	2393000	1750	3.0348517910532818e-09
b'chr8'	2393000	4786000	1677	6.130904690734669e-09
b'chr8'	4786000	7179000	1548	1.2395025024011e-08
b'chr8'	7179000	9572000	1729	4.228572794052261e-09
b'chr8'	9572000	10000000	322	3.533722213972928e-09
b'chr9'	0	2124000	1518	3.819167589936714e-09
b'chr9'	2124000	4248000	1537	5.41703405901791e-09
b'chr9'	4248000	6372000	1438	3.6887360211575804e-09
b'chr9'	6372000	8496000	1748	3.103188647696624e-09
b'chr9'	8496000	10000000	1261	1.8460019788079415e-09
b'chr10'	0	2349000	1524	6.869268150829519e-09
b'chr10'	2349000	4698000	1665	4.362703288780963e-09
b'chr10'	4698000	7047000	1710	2.6269323387515564e-09
b'chr10'	7047000	9396000	1750	2.1535779923016882e-09
b'chr10'	9396000	10000000	567	5.008415883909239e-09
b'chr11'	0	2044000	1156	8.882097539894897e-10
b'chr11'	2044000	4088000	1750	6.0709204967772064e-09
b'chr11'	4088000	6132000	1477	2.047693339448102e-09
b'chr11'	6132000	8176000	1430	5.38632005885475e-09
b'chr11'	8176000	10000000	1390	2.6225744277850097e-09
b'chr12'	0	2034000	1439	3.837742799091992e-09
b'chr12'	2034000	4068000	1467	3.6619207397213316e-09
b'chr12'	4068000	6102000	1753	6.876513674533777e-09
b'chr12'	6102000	8136000	1523	5.765031131702123e-09
b'chr12'	8136000	10000000	1415	9.27629205666196e-09
b'chr13'	0	2224000	1540	2.220593567428579e-09
b'chr13'	2224000	4448000	1751	2.568455973157898e-09
b'chr13'	4448000	6672000	1585	5.454868850377926e-09
b'chr13'	6672000	8896000	1612	5.1610928882782424e-09
b'chr13'	8896000	10000000	768	3.984158893885958e-09
b'chr14'	0	2405000	1556	7.142211520948738e-10
b'chr14'	2405000	4810000	1724	7.188296319037209e-10
b'chr14'	4810000	7215000	1609	1.175230291794525e-09
b'chr14'	7215000	9620000	1752	2.9554612058336983e-09
b'chr14'	9620000	10000000	316	1.247593911154678e-09
b'chr15'	0	2340000	1750	9.042571981717707e-10
b'chr15'	2340000	4680000	1686	1.6697902683300887e-09
b'chr15'	4680000	7020000	1500	2.2110829896961162e-09
b'chr15'	7020000	9360000	1522	9.90692410490771e-10
b'chr15'	9360000	10000000	494	3.778025731389318e-09
b'chr16'	0	2131000	1701	4.2312749081806607e-10
b'chr16'	2131000	4262000	1749	1.472085932616768e-09
b'chr16'	4262000	6393000	1434	1.8200642402334973e-09
b'chr16'	6393000	8524000	1507	4.377981365196356e-09
b'chr16'	8524000	10000000	1077	1.8454301961633948e-09
b'chr17'	0	2162000	1708	3.6088111834284212e-09
b'chr17'	2162000	4324000	1749	1.0455758175747776e-09
b'chr17'	4324000	6486000	1252	2.215752124427954e-10
b'chr17'	6486000	8648000	1569	2.199687074595147e-09
b'chr17'	8648000	10000000	1061	3.479561813900851e-09
b'chr18'	0	1981000	1658	2.4943173991791532e-09
b'chr18'	1981000	3962000	1747	3.77961077208859e-10
b'chr18'	3962000	5943000	1262	2.06199232087177e-09
b'chr18'	5943000	7924000	1430	1.0400323958741705e-09
b'chr18'	7924000	9905000	1360	3.672420346893011e-09
b'chr18'	9905000	10000000	82	3.841651452266395e-09
b'chr19'	0	2373000	1529	8.321529782739122e-10
b'chr19'	2373000	4746000	1508	1.3478192404202486e-09
b'chr19'	4746000	7119000	1690	2.2605741994468936e-09
b'chr19'	7119000	9492000	1750	3.554699351766304e-09
b'chr19'	9492000	10000000	436	4.362867759078333e-09
b'chr20'	0	2297000	1695	5.527051442028222e-09
b'chr20'	2297000	4594000	1748	7.939526048051343e-09
b'chr20'	4594000	6891000	1713	1.253248742204581e-08
b'chr20'	6891000	9188000	1669	1.0992652752033e-08
b'chr20'	9188000	10000000	543	1.195589286188391e-09
