chrom	start	end	nSites	recombRate
b'chr1'	0	625000	1501	4.81803248227243e-09
b'chr1'	625000	1250000	1264	7.001235976686781e-09
b'chr1'	1250000	1875000	1589	5.192610824963081e-09
b'chr1'	1875000	2500000	1139	6.246751943837831e-09
b'chr1'	2500000	3125000	1759	7.610009605459797e-09
b'chr1'	3125000	3750000	1247	4.608775763910143e-09
b'chr1'	3750000	4375000	1285	4.091495292024772e-09
b'chr1'	4375000	5000000	1288	4.313416878682102e-09
b'chr1'	5000000	5625000	1257	3.272333349229816e-09
b'chr1'	5625000	6250000	1266	3.985710501065249e-09
b'chr1'	6250000	6875000	1376	3.3660198458528364e-09
b'chr1'	6875000	7500000	1194	2.9325705882268104e-09
b'chr1'	7500000	8125000	1168	6.081579336221856e-09
b'chr1'	8125000	8750000	1216	2.9810786326219625e-09
b'chr1'	8750000	9375000	1331	3.557149302056834e-09
b'chr1'	9375000	10000000	1259	3.3857987099066906e-09
b'chr2'	0	747000	1536	1.4094444680253518e-08
b'chr2'	747000	1494000	1690	7.791813099080563e-09
b'chr2'	1494000	2241000	1748	7.350285893837504e-09
b'chr2'	2241000	2988000	1717	1.4070900815825888e-08
b'chr2'	2988000	3735000	1429	8.063545074108966e-09
b'chr2'	3735000	4482000	1571	1.1221977576904746e-08
b'chr2'	4482000	5229000	1636	1.6655040371997788e-08
b'chr2'	5229000	5976000	1527	2.037939857182364e-08
b'chr2'	5976000	6723000	1558	2.0511061628339265e-08
b'chr2'	6723000	7470000	1639	1.987698600957756e-08
b'chr2'	7470000	8217000	1377	9.414297749950218e-09
b'chr2'	8217000	8964000	1540	1.3137816372543674e-08
b'chr2'	8964000	9711000	1501	1.1627386856484241e-08
b'chr2'	9711000	10000000	542	4.75955739297932e-09
b'chr3'	0	786000	1553	4.036683530244382e-09
b'chr3'	786000	1572000	1704	4.455058816058525e-09
b'chr3'	1572000	2358000	1677	3.7274598035624504e-10
b'chr3'	2358000	3144000	1417	7.307275867053589e-10
b'chr3'	3144000	3930000	1749	1.2895045562168285e-09
b'chr3'	3930000	4716000	1700	1.294176851052967e-09
b'chr3'	4716000	5502000	1589	9.274824238017753e-10
b'chr3'	5502000	6288000	1656	1.1022386687328116e-09
b'chr3'	6288000	7074000	1375	1.6025871166737876e-09
b'chr3'	7074000	7860000	1627	6.25098650208135e-09
b'chr3'	7860000	8646000	1318	3.8849363970595625e-09
b'chr3'	8646000	9432000	1647	4.647257777625348e-09
b'chr3'	9432000	10000000	799	2.9809544520283113e-09
b'chr4'	0	728000	1473	5.450065136236392e-09
b'chr4'	728000	1456000	1431	2.21770016475272e-09
b'chr4'	1456000	2184000	1747	5.685277150929284e-09
b'chr4'	2184000	2912000	1452	8.366632649034395e-09
b'chr4'	2912000	3640000	1559	1.310080512273453e-08
b'chr4'	3640000	4368000	1690	7.770303468002687e-09
b'chr4'	4368000	5096000	1460	7.862242122770061e-09
b'chr4'	5096000	5824000	1607	1.0439011172644385e-08
b'chr4'	5824000	6552000	1675	3.4494707570441215e-09
b'chr4'	6552000	7280000	1523	2.115269802079207e-09
b'chr4'	7280000	8008000	1360	1.4378180178145034e-10
b'chr4'	8008000	8736000	1513	7.835043390072848e-10
b'chr4'	8736000	9464000	1419	8.713416270350975e-09
b'chr4'	9464000	10000000	1211	4.307232685118256e-09
b'chr5'	0	699000	1751	2.192823687329466e-09
b'chr5'	699000	1398000	1514	1.107444940121657e-09
b'chr5'	1398000	2097000	1362	9.812991885755307e-10
b'chr5'	2097000	2796000	1594	4.146027647469445e-09
b'chr5'	2796000	3495000	1412	3.003795919973101e-09
b'chr5'	3495000	4194000	1347	4.012533509293989e-09
b'chr5'	4194000	4893000	1321	4.42281377265947e-09
b'chr5'	4893000	5592000	1514	2.288489312163806e-09
b'chr5'	5592000	6291000	1492	2.7898731158043524e-09
b'chr5'	6291000	6990000	1572	3.0871568002339897e-09
b'chr5'	6990000	7689000	1589	2.0124824201989465e-09
b'chr5'	7689000	8388000	1375	9.804392457817631e-09
b'chr5'	8388000	9087000	1336	3.14928435123788e-09
b'chr5'	9087000	9786000	1459	1.983666313442096e-09
b'chr5'	9786000	10000000	322	2.627818993346451e-09
b'chr6'	0	715000	1407	5.3526951327541805e-09
b'chr6'	715000	1430000	1519	5.340857617664345e-09
b'chr6'	1430000	2145000	1749	3.6483661571236074e-09
b'chr6'	2145000	2860000	1500	7.907509053670905e-09
b'chr6'	2860000	3575000	1318	1.1502871751358504e-08
b'chr6'	3575000	4290000	1485	1.0004986027515301e-08
b'chr6'	4290000	5005000	1507	8.367518988021582e-09
