chrom	start	end	nSites	recombRate
b'chr1'	0	1718000	1551	9.159680965241844e-09
b'chr1'	1718000	3436000	1427	1.2786705833667046e-08
b'chr1'	3436000	5154000	1714	1.5726252189191564e-08
b'chr1'	5154000	6872000	1733	1.4530495521316543e-08
b'chr1'	6872000	8590000	1750	9.957230827969162e-09
b'chr1'	8590000	10000000	1252	9.776403704265983e-09
b'chr2'	0	1506000	1744	3.3183965881874516e-09
b'chr2'	1506000	3012000	1186	3.5550087390737644e-09
b'chr2'	3012000	4518000	1746	3.324441078583444e-09
b'chr2'	4518000	6024000	1710	3.766725785447777e-09
b'chr2'	6024000	7530000	1446	2.5476045388772096e-09
b'chr2'	7530000	9036000	1553	3.4923487637745956e-09
b'chr2'	9036000	10000000	881	2.4299030676993943e-09
b'chr3'	0	1699000	1526	5.613129778275131e-09
b'chr3'	1699000	3398000	1402	6.440954869734707e-09
b'chr3'	3398000	5097000	1751	1.1473174738515437e-08
b'chr3'	5097000	6796000	1393	7.254573701280541e-09
b'chr3'	6796000	8495000	1667	8.50339894585257e-09
b'chr3'	8495000	10000000	1394	5.111899648119231e-09
b'chr4'	0	1861000	1607	4.6701396042630734e-09
b'chr4'	1861000	3722000	1749	4.101907834802459e-09
b'chr4'	3722000	5583000	1665	5.593475094814928e-09
b'chr4'	5583000	7444000	1695	3.610320327743603e-09
b'chr4'	7444000	9305000	1691	2.576254554090051e-09
b'chr4'	9305000	10000000	704	2.940823940932379e-09
b'chr5'	0	1649000	1218	1.5103473239668086e-09
b'chr5'	1649000	3298000	1750	3.780138841819568e-09
b'chr5'	3298000	4947000	1478	6.718835336406284e-09
b'chr5'	4947000	6596000	1653	4.099706733779983e-09
b'chr5'	6596000	8245000	1607	5.146189014541275e-09
b'chr5'	8245000	9894000	1712	2.8183011582060403e-09
b'chr5'	9894000	10000000	135	1.3037015025860433e-09
b'chr6'	0	1724000	1533	3.1887365258409867e-09
b'chr6'	1724000	3448000	1751	3.5434708096661136e-09
b'chr6'	3448000	5172000	1591	3.131349568999748e-09
b'chr6'	5172000	6896000	1290	2.125135950244826e-09
b'chr6'	6896000	8620000	1586	2.01797741146803e-09
b'chr6'	8620000	10000000	1148	2.868505819961958e-09
b'chr7'	0	1696000	1399	3.3422237395943512e-09
b'chr7'	1696000	3392000	1612	3.570790540269462e-09
b'chr7'	3392000	5088000	1754	3.5874462623929805e-09
b'chr7'	5088000	6784000	1126	4.022786169557348e-09
b'chr7'	6784000	8480000	1525	4.570447423679581e-09
b'chr7'	8480000	10000000	1324	1.9677680929398533e-09
b'chr8'	0	1455000	1606	2.5378765416220257e-09
b'chr8'	1455000	2910000	1132	3.146671901998933e-09
b'chr8'	2910000	4365000	1314	4.355198991673602e-09
b'chr8'	4365000	5820000	1748	4.6355708315053125e-09
b'chr8'	5820000	7275000	1651	4.965431742422026e-09
b'chr8'	7275000	8730000	1534	2.615214663090815e-09
b'chr8'	8730000	10000000	1302	3.887652847545693e-09
b'chr9'	0	1715000	1750	5.78557781642167e-09
b'chr9'	1715000	3430000	1733	7.265273411681048e-09
b'chr9'	3430000	5145000	1649	7.181779037281983e-09
b'chr9'	5145000	6860000	1381	7.776948682020468e-09
b'chr9'	6860000	8575000	1601	5.198253280687124e-09
b'chr9'	8575000	10000000	1507	7.133950881637072e-09
b'chr10'	0	1710000	1516	2.9967269396794843e-09
b'chr10'	1710000	3420000	1530	4.413726857719013e-09
b'chr10'	3420000	5130000	1711	3.3196694392723813e-09
b'chr10'	5130000	6840000	1752	3.866146320982659e-09
b'chr10'	6840000	8550000	1157	3.4753794856521055e-09
b'chr10'	8550000	10000000	684	0
b'chr11'	0	1584000	1434	6.613267861485649e-09
b'chr11'	1584000	3168000	1448	1.1720477286257733e-08
b'chr11'	3168000	4752000	1340	9.916413442964597e-09
b'chr11'	4752000	6336000	1473	1.0685658667755167e-08
b'chr11'	6336000	7920000	1753	1.3549732715230514e-08
b'chr11'	7920000	9504000	1560	1.108562340443175e-08
b'chr11'	9504000	10000000	526	5.80721473260804e-09
b'chr12'	0	1509000	1527	4.745961170231893e-09
b'chr12'	1509000	3018000	1198	2.2439410764487216e-09
b'chr12'	3018000	4527000	1415	3.575428685442349e-09
b'chr12'	4527000	6036000	1228	2.7873103388028656e-09
b'chr12'	6036000	7545000	1750	2.89318360843537e-09
b'chr12'	7545000	9054000	1315	4.003522654967148e-09
b'chr12'	9054000	10000000	938	1.3510779513215476e-09
b'chr13'	0	1382000	1246	5.5079581289967604e-09
b'chr13'	1382000	2764000	1749	1.2009826606881745e-08
b'chr13'	2764000	4146000	1252	1.0807576846216165e-08
b'chr13'	4146000	5528000	1164	6.642518600320282e-09
b'chr13'	5528000	6910000	1462	1.1035355876250298e-08
b'chr13'	6910000	8292000	1550	1.1264419399300015e-08
b'chr13'	8292000	9674000	1206	6.781163128617439e-09
b'chr13'	9674000	10000000	296	5.162040589148224e-10
b'chr14'	0	1827000	1656	3.94609223491813e-09
b'chr14'	1827000	3654000	1750	2.8865632305363196e-09
b'chr14'	3654000	5481000	955	9.67325767274888e-10
b'chr14'	5481000	7308000	1484	3.0965929730940883e-09
b'chr14'	7308000	9135000	1735	3.3522295909278267e-09
b'chr14'	9135000	10000000	755	1.3981051421374034e-09
b'chr15'	0	1605000	1550	3.149355755079227e-09
b'chr15'	1605000	3210000	1340	4.0134245050534405e-09
b'chr15'	3210000	4815000	1595	6.391338513541216e-09
b'chr15'	4815000	6420000	1507	5.18433108388136e-09
b'chr15'	6420000	8025000	1755	7.286634026046541e-09
b'chr15'	8025000	9630000	1578	3.822108777958963e-09
b'chr15'	9630000	10000000	400	2.5530436488791484e-09
b'chr16'	0	1562000	1330	2.0368280255843407e-09
b'chr16'	1562000	3124000	1636	2.8458645932244322e-09
b'chr16'	3124000	4686000	1749	4.393589422200989e-09
