chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'chr1'	0	2469000	1751	4.350009034660024e-09	2.6246054590901954e-09	6.830694758164929e-09
b'chr1'	2469000	4938000	1662	4.689897661991118e-09	2.8630248534053845e-09	7.264963489228327e-09
b'chr1'	4938000	7407000	1672	4.526062897805501e-09	2.8006593222356727e-09	7.006748621310406e-09
b'chr1'	7407000	9876000	1713	5.894577381150745e-09	3.901841737987033e-09	8.739486889121527e-09
b'chr1'	9876000	10000000	85	4.30873967015114e-09	2.641059498415898e-09	6.734701101891259e-09
b'chr2'	0	2505000	1653	1.0642315741639693e-08	7.364460243499168e-09	1.6549272576417735e-08
b'chr2'	2505000	5010000	1683	7.420531641877488e-09	4.723214783120084e-09	1.1492160409354396e-08
b'chr2'	5010000	7515000	1751	1.0778394239495105e-08	6.957420235629831e-09	1.6518503249827723e-08
b'chr2'	7515000	10000000	1736	1.117865475217807e-08	7.624914605577922e-09	1.684556236201397e-08
b'chr3'	0	2254000	1630	6.128975255819923e-09	4.023339945263515e-09	9.326070244569348e-09
b'chr3'	2254000	4508000	1718	3.6457482874135437e-09	1.9810838810934727e-09	5.851363777660769e-09
b'chr3'	4508000	6762000	1548	8.174208359876146e-09	5.478132019917538e-09	1.2657595199436101e-08
b'chr3'	6762000	9016000	1748	3.3477341060918403e-09	1.7555048909502685e-09	5.319039203029055e-09
b'chr3'	9016000	10000000	708	5.672520403151724e-09	3.679784759988012e-09	8.517429911122508e-09
b'chr4'	0	2024000	1507	2.7215084439871083e-09	1.1546629017868957e-09	4.411433621559712e-09
b'chr4'	2024000	4048000	1751	6.990308364729945e-10	0	2.2178595659250767e-09
b'chr4'	4048000	6072000	1358	1.1369591949089138e-09	0	2.685657253593208e-09
b'chr4'	6072000	8096000	1611	7.117083559135053e-09	4.670135936831812e-09	1.0967270261926855e-08
b'chr4'	8096000	10000000	1484	3.198019774730489e-09	1.605790559588917e-09	5.169324871667703e-09
b'chr5'	0	2227000	1551	2.0955279508208922e-09	6.33830032561773e-10	3.783540591597895e-09
b'chr5'	2227000	4454000	1750	1.116843042564855e-09	0	2.6655411012491492e-09
b'chr5'	4454000	6681000	1584	1.1544636913900409e-09	0	2.703161750074335e-09
b'chr5'	6681000	8908000	1668	0	0	1.934611715270761e-09
b'chr5'	8908000	10000000	689	2.5008246273969993e-09	9.339790851967868e-10	4.190749804969603e-09
b'chr6'	0	2178000	1750	4.404327282064476e-09	2.678923706494648e-09	6.8850130055693815e-09
b'chr6'	2178000	4356000	1560	9.494480043752846e-09	6.47792355026809e-09	1.4348651308698097e-08
b'chr6'	4356000	6534000	1648	1.7066965359613064e-08	1.1408302488002633e-08	2.3548097079805996e-08
b'chr6'	6534000	8712000	1496	8.372092067558074e-09	5.676015727599466e-09	1.2855478907118029e-08
b'chr6'	8712000	10000000	944	1.3061425316048712e-08	8.97308662623709e-09	1.95115140902501e-08
b'chr7'	0	2173000	1750	2.983217028737622e-09	1.3745854674480802e-09	4.759567784115696e-09
b'chr7'	2173000	4346000	1605	9.760168320117142e-09	6.674821719688335e-09	1.5291205859203153e-08
b'chr7'	4346000	6519000	1524	7.0794342107948885e-09	4.632486588491647e-09	1.092962091358669e-08
