chrom	start	end	nSites	recombRate
b'chr1'	0	2776000	1741	1.1391027723557492e-08
b'chr1'	2776000	5552000	1750	1.3710753034246265e-08
b'chr1'	5552000	8328000	1661	9.517456897482721e-09
b'chr1'	8328000	10000000	963	8.140183127481044e-09
b'chr2'	0	2743000	1585	4.6147178053163705e-09
b'chr2'	2743000	5486000	1748	4.1757068093521764e-09
b'chr2'	5486000	8229000	1750	5.9667790341632265e-09
b'chr2'	8229000	10000000	1038	1.0787747455623442e-09
b'chr3'	0	2772000	1677	1.7075118484202378e-08
b'chr3'	2772000	5544000	1693	6.704150981206986e-09
b'chr3'	5544000	8316000	1749	1.1611242603180824e-08
b'chr3'	8316000	10000000	984	6.6313066449709645e-09
b'chr4'	0	2838000	1750	2.633852617940497e-09
b'chr4'	2838000	5676000	1675	9.192407208441298e-09
b'chr4'	5676000	8514000	1733	4.2948922386241285e-09
b'chr4'	8514000	10000000	937	4.211023770186688e-09
b'chr5'	0	2844000	1717	5.006698505949868e-09
b'chr5'	2844000	5688000	1739	5.220095094853016e-09
b'chr5'	5688000	8532000	1748	5.26571594044577e-09
b'chr5'	8532000	10000000	862	2.0005921283568067e-09
b'chr6'	0	3001000	1732	4.6471429105762215e-09
b'chr6'	3001000	6002000	1749	6.283826060072512e-09
b'chr6'	6002000	9003000	1688	6.240156402057511e-09
b'chr6'	9003000	10000000	548	6.403753390218847e-10
b'chr7'	0	2803000	1750	5.255730268458762e-09
b'chr7'	2803000	5606000	1720	8.404479789464557e-09
b'chr7'	5606000	8409000	1675	7.579965663083217e-09
b'chr7'	8409000	10000000	895	2.1801324306582743e-09
b'chr8'	0	2872000	1627	5.217687543593598e-09
b'chr8'	2872000	5744000	1630	4.078906484343342e-09
b'chr8'	5744000	8616000	1750	5.1356414253679935e-09
b'chr8'	8616000	10000000	781	2.5031835882706136e-09
b'chr9'	0	2979000	1690	7.084047357820761e-09
b'chr9'	2979000	5958000	1749	9.457097367680946e-09
b'chr9'	5958000	8937000	1673	6.568994375334019e-09
b'chr9'	8937000	10000000	632	4.94553335454678e-09
b'chr10'	0	2908000	1726	6.23786371784722e-09
b'chr10'	2908000	5816000	1691	4.838623176957286e-09
b'chr10'	5816000	8724000	1750	4.974552807025734e-09
b'chr10'	8724000	10000000	801	1.5468377914113292e-09
b'chr11'	0	2917000	1677	1.5345077528591888e-08
b'chr11'	2917000	5834000	1750	1.318643307495827e-08
b'chr11'	5834000	8751000	1701	1.2677827393668176e-08
b'chr11'	8751000	10000000	785	3.9998546706821625e-09
b'chr12'	0	2908000	1576	6.2891704823717925e-09
b'chr12'	2908000	5816000	1632	7.911471966865812e-09
b'chr12'	5816000	8724000	1748	7.792981948918308e-09
b'chr12'	8724000	10000000	702	1.8270016287486763e-09
b'chr13'	0	2791000	1573	1.3521941874499999e-08
b'chr13'	2791000	5582000	1667	8.284440618611251e-09
b'chr13'	5582000	8373000	1748	9.994058911402672e-09
b'chr13'	8373000	10000000	914	4.288551267060795e-09
b'chr14'	0	2896000	1703	5.799905152414224e-09
b'chr14'	2896000	5792000	1750	8.991880385812716e-09
b'chr14'	5792000	8688000	1742	5.348637531856617e-09
b'chr14'	8688000	10000000	769	2.1653782238750444e-09
b'chr15'	0	2869000	1727	6.137511827859951e-09
b'chr15'	2869000	5738000	1744	6.16810371710602e-09
b'chr15'	5738000	8607000	1749	1.1088086060829604e-08
b'chr15'	8607000	10000000	844	3.830610491851837e-09
b'chr16'	0	2869000	1584	4.207136917605393e-09
b'chr16'	2869000	5738000	1750	6.023836912431288e-09
b'chr16'	5738000	8607000	1572	2.5312608204952377e-09
b'chr16'	8607000	10000000	822	8.090079284284788e-10
b'chr17'	0	2862000	1750	9.198537072995425e-09
b'chr17'	2862000	5724000	1571	6.08385184108568e-09
b'chr17'	5724000	8586000	1721	1.1359710153967272e-08
b'chr17'	8586000	10000000	784	5.160486857642833e-09
b'chr18'	0	2839000	1613	2.1075069627185626e-09
b'chr18'	2839000	5678000	1750	5.213344327330634e-09
b'chr18'	5678000	8517000	1714	4.6114565124755966e-09
b'chr18'	8517000	10000000	838	3.830545297040168e-09
b'chr19'	0	2844000	1713	7.940418463245996e-09
b'chr19'	2844000	5688000	1748	5.343963684763053e-09
b'chr19'	5688000	8532000	1631	5.665221985054553e-09
b'chr19'	8532000	10000000	944	5.7454488575831595e-09
b'chr20'	0	2733000	1717	4.773530814279966e-09
b'chr20'	2733000	5466000	1614	4.53862459429894e-09
b'chr20'	5466000	8199000	1749	7.0436483061910586e-09
b'chr20'	8199000	10000000	1108	2.9066013215794228e-09
