chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'chr1'	0	623000	1121	8.766183997468053e-09	5.937769072974126e-09	1.327816740658479e-08
b'chr1'	623000	1246000	1153	6.41694638952062e-09	4.0326009129069174e-09	9.774367663850985e-09
b'chr1'	1246000	1869000	1282	4.16273696022477e-09	2.1562462088974643e-09	7.1022229481764535e-09
b'chr1'	1869000	2492000	1451	4.861117810459271e-09	2.7666628010322057e-09	7.697823725069876e-09
b'chr1'	2492000	3115000	1184	3.795163952270674e-09	1.7780318464790996e-09	6.317266523504759e-09
b'chr1'	3115000	3738000	1441	3.509570318475913e-09	1.4924382126843388e-09	6.031672889709998e-09
b'chr1'	3738000	4361000	1455	2.603463706371861e-09	7.831578891812462e-10	4.973141005202059e-09
b'chr1'	4361000	4984000	1261	6.492954226379913e-09	4.108608749766211e-09	9.850375500710278e-09
b'chr1'	4984000	5607000	1390	1.1608672958693509e-09	0	3.361219596232657e-09
b'chr1'	5607000	6230000	1290	2.285619251470217e-09	5.827827574371951e-10	4.4102227224023465e-09
b'chr1'	6230000	6853000	1271	6.668265527631676e-09	4.239581651399491e-09	1.0368255575310301e-08
b'chr1'	6853000	7476000	1432	4.438647747969033e-09	2.1454566442940477e-09	7.140063283679825e-09
b'chr1'	7476000	8099000	1750	3.087249518998075e-09	1.159067060853996e-09	5.527159570774981e-09
b'chr1'	8099000	8722000	1262	2.2220325784909235e-09	5.191960844579015e-10	4.346636049423053e-09
b'chr1'	8722000	9345000	1158	2.611849000958187e-09	7.91543183767572e-10	4.981526299788385e-09
b'chr1'	9345000	9968000	1028	2.9119903426627497e-09	9.838078845186708e-10	5.351900394439656e-09
b'chr1'	9968000	10000000	68	0	0	1.0427508567723007e-08
b'chr2'	0	778000	1741	1.125387814189788e-08	7.564477134974603e-09	1.6661440317716606e-08
b'chr2'	778000	1556000	1585	7.289357547529759e-09	4.7031269400810894e-09	1.0969919269593417e-08
b'chr2'	1556000	2334000	1561	5.84972068094135e-09	3.461503412551569e-09	9.230313264587441e-09
