chrom	start	end	nSites	recombRate
b'chr1'	0	1705000	1750	1.6493704168596935e-08
b'chr1'	1705000	3410000	1602	1.727577686064736e-08
b'chr1'	3410000	5115000	1603	1.1675185519238156e-08
b'chr1'	5115000	6820000	1494	1.525474934089843e-08
b'chr1'	6820000	8525000	1516	1.3404567929637939e-08
b'chr1'	8525000	10000000	1424	1.5757475847207836e-08
b'chr2'	0	1637000	1750	7.025603313676062e-09
b'chr2'	1637000	3274000	1060	5.5750777398654454e-09
b'chr2'	3274000	4911000	1738	1.0468376002399433e-08
b'chr2'	4911000	6548000	1649	1.631373272679689e-08
b'chr2'	6548000	8185000	1314	7.61605564811321e-09
b'chr2'	8185000	9822000	1321	1.061922903530996e-08
b'chr2'	9822000	10000000	99	8.472959177833725e-09
b'chr3'	0	1607000	1305	1.6695102195702857e-08
b'chr3'	1607000	3214000	1632	9.013793603819959e-09
b'chr3'	3214000	4821000	1500	1.5248153799118114e-08
b'chr3'	4821000	6428000	1574	1.2317425041871567e-08
b'chr3'	6428000	8035000	1747	1.3758146557813394e-08
b'chr3'	8035000	9642000	1590	1.3663350973263323e-08
b'chr3'	9642000	10000000	366	5.655231656295283e-09
b'chr4'	0	1629000	1316	7.62785125225269e-09
b'chr4'	1629000	3258000	1749	9.263452478326793e-09
b'chr4'	3258000	4887000	1518	8.918593656211811e-09
b'chr4'	4887000	6516000	1253	1.1486220686007248e-08
b'chr4'	6516000	8145000	1659	1.13300729030349e-08
b'chr4'	8145000	9774000	1699	9.435785649424204e-09
b'chr4'	9774000	10000000	213	7.171506197672153e-09
b'chr5'	0	1607000	1366	1.8782883769697905e-08
b'chr5'	1607000	3214000	1492	8.686018926876594e-09
b'chr5'	3214000	4821000	1509	8.663408745287483e-09
b'chr5'	4821000	6428000	1406	8.015356794742467e-09
b'chr5'	6428000	8035000	1601	8.534754545749596e-09
b'chr5'	8035000	9642000	1745	1.1808798405106292e-08
b'chr5'	9642000	10000000	483	5.0867422121028386e-09
b'chr6'	0	1506000	1735	8.348582999747136e-09
b'chr6'	1506000	3012000	1676	1.079040267011415e-08
b'chr6'	3012000	4518000	1747	1.1274494326088712e-08
b'chr6'	4518000	6024000	1585	8.411197959581108e-09
b'chr6'	6024000	7530000	1427	6.599517965253578e-09
b'chr6'	7530000	9036000	1302	9.564439072833378e-09
b'chr6'	9036000	10000000	967	7.1807700699585615e-09
b'chr7'	0	1669000	1417	6.006040281103594e-09
b'chr7'	1669000	3338000	1368	1.0890003267509826e-08
b'chr7'	3338000	5007000	1714	8.991633576882834e-09
b'chr7'	5007000	6676000	1432	1.1797250386025406e-08
