chrom	start	end	nSites	recombRate
b'chr1'	0	1705000	1750	1.987868049258437e-08
b'chr1'	1705000	3410000	1602	1.5843143381995806e-08
b'chr1'	3410000	5115000	1603	1.4172737440036003e-08
b'chr1'	5115000	6820000	1494	2.0117301458605178e-08
b'chr1'	6820000	8525000	1516	1.6813190955107123e-08
b'chr1'	8525000	10000000	1424	1.4353820686213589e-08
b'chr2'	0	1637000	1750	5.703295755068128e-09
b'chr2'	1637000	3274000	1060	5.883562513842457e-09
b'chr2'	3274000	4911000	1738	1.3119845888384869e-08
b'chr2'	4911000	6548000	1649	1.3957042734021589e-08
b'chr2'	6548000	8185000	1314	6.9473415990419915e-09
b'chr2'	8185000	9822000	1321	8.382181611616994e-09
b'chr2'	9822000	10000000	99	7.711269566038143e-09
b'chr3'	0	1607000	1305	1.598498788896562e-08
b'chr3'	1607000	3214000	1632	1.1022555961559661e-08
b'chr3'	3214000	4821000	1500	2.0007857608840837e-08
b'chr3'	4821000	6428000	1574	1.3320354083924405e-08
b'chr3'	6428000	8035000	1747	1.4200047857094828e-08
b'chr3'	8035000	9642000	1590	1.4547980148902687e-08
b'chr3'	9642000	10000000	366	5.964543783477495e-09
b'chr4'	0	1629000	1316	7.343379900573053e-09
b'chr4'	1629000	3258000	1749	7.726121565038874e-09
b'chr4'	3258000	4887000	1518	8.989514745503653e-09
b'chr4'	4887000	6516000	1253	1.0686620291227256e-08
b'chr4'	6516000	8145000	1659	1.2782326915483406e-08
b'chr4'	8145000	9774000	1699	8.140554117004577e-09
b'chr4'	9774000	10000000	213	5.76975876104788e-09
b'chr5'	0	1607000	1366	1.4240404997774173e-08
b'chr5'	1607000	3214000	1492	9.10334333441696e-09
b'chr5'	3214000	4821000	1509	9.109754157564223e-09
b'chr5'	4821000	6428000	1406	8.573840387601433e-09
b'chr5'	6428000	8035000	1601	9.54229612072788e-09
b'chr5'	8035000	9642000	1745	1.160264309707045e-08
b'chr5'	9642000	10000000	483	4.4096180323265675e-09
b'chr6'	0	1506000	1735	8.993972828815745e-09
b'chr6'	1506000	3012000	1676	9.037141107683878e-09
b'chr6'	3012000	4518000	1747	1.2356142998714711e-08
b'chr6'	4518000	6024000	1585	8.955478397041173e-09
b'chr6'	6024000	7530000	1427	8.131329051153685e-09
b'chr6'	7530000	9036000	1302	9.86690652091926e-09
b'chr6'	9036000	10000000	967	9.732058814273001e-09
b'chr7'	0	1669000	1417	6.415677909896926e-09
b'chr7'	1669000	3338000	1368	1.0072256983482497e-08
b'chr7'	3338000	5007000	1714	8.716896431488062e-09
b'chr7'	5007000	6676000	1432	1.3806087252121298e-08
b'chr7'	6676000	8345000	1755	1.203884761161812e-08
b'chr7'	8345000	10000000	1619	1.2814886291010143e-08
b'chr8'	0	1750000	1693	1.0139118919619353e-08
b'chr8'	1750000	3500000	1672	9.268817079972541e-09
b'chr8'	3500000	5250000	1615	1.263051381135821e-08
b'chr8'	5250000	7000000	1749	1.2087708018447757e-08
b'chr8'	7000000	8750000	1645	1.3228400682711535e-08
b'chr8'	8750000	10000000	956	3.894184746771766e-09
b'chr9'	0	1628000	1462	1.36619733448025e-08
b'chr9'	1628000	3256000	1635	1.1374578451670918e-08
b'chr9'	3256000	4884000	1394	1.0101371899792823e-08
b'chr9'	4884000	6512000	1751	1.1846794562248838e-08
b'chr9'	6512000	8140000	1554	9.427096112383433e-09
b'chr9'	8140000	9768000	1651	1.4661541749539642e-08
b'chr9'	9768000	10000000	244	7.0989847309796275e-09
b'chr10'	0	1531000	1311	6.290637365634302e-09
b'chr10'	1531000	3062000	1087	9.446046847103376e-09
b'chr10'	3062000	4593000	1757	6.8974830906908786e-09
b'chr10'	4593000	6124000	1170	9.93406571435217e-09
b'chr10'	6124000	7655000	1711	1.3723880475252658e-08
b'chr10'	7655000	9186000	1230	8.823561352405092e-09
b'chr10'	9186000	10000000	690	3.134326798732546e-09
b'chr11'	0	1658000	1413	2.0541967267616482e-08
b'chr11'	1658000	3316000	1750	1.5531921978186196e-08
b'chr11'	3316000	4974000	1534	1.478685471497959e-08
b'chr11'	4974000	6632000	1371	2.1998317735906114e-08
b'chr11'	6632000	8290000	1622	1.676465807459324e-08
b'chr11'	8290000	9948000	1692	2.3692529534241326e-08
b'chr12'	0	1738000	1535	7.3470152874522056e-09
b'chr12'	1738000	3476000	1503	1.0678201623106388e-08
b'chr12'	3476000	5214000	1424	7.2031039497268e-09
b'chr12'	5214000	6952000	1703	1.1140713020290436e-08
b'chr12'	6952000	8690000	1751	1.0729329878027589e-08
b'chr12'	8690000	10000000	1362	1.1315914763101198e-08
b'chr13'	0	1697000	1750	2.0261879878957104e-08
b'chr13'	1697000	3394000	1535	1.4125600038943281e-08
b'chr13'	3394000	5091000	1518	1.3382034584791148e-08
b'chr13'	5091000	6788000	1633	1.3901910431083835e-08
b'chr13'	6788000	8485000	1560	1.2977754572485172e-08
b'chr13'	8485000	10000000	1602	1.4032327218922863e-08
b'chr14'	0	1526000	1429	1.1159479036377322e-08
b'chr14'	1526000	3052000	1520	6.2315274030561485e-09
b'chr14'	3052000	4578000	1291	9.143137005652612e-09
b'chr14'	4578000	6104000	1745	1.1282450421498227e-08
b'chr14'	6104000	7630000	1351	1.114389902864631e-08
b'chr14'	7630000	9156000	1371	7.863431151954274e-09
b'chr14'	9156000	10000000	935	4.8063812380730714e-09
b'chr15'	0	1581000	1750	1.4353788864936465e-08
b'chr15'	1581000	3162000	1411	1.1304948064424343e-08
b'chr15'	3162000	4743000	1645	1.388728583779523e-08
b'chr15'	4743000	6324000	1517	1.3540298870756545e-08
b'chr15'	6324000	7905000	1677	1.2919225930311048e-08
b'chr15'	7905000	9486000	1588	7.244511968679921e-09
b'chr15'	9486000	10000000	589	6.819342452135619e-09
b'chr16'	0	1290000	835	9.048064343152955e-09
b'chr16'	1290000	2580000	1276	5.681359253199577e-09
b'chr16'	2580000	3870000	1669	1.497567596439909e-08
b'chr16'	3870000	5160000	1753	1.123845789393973e-08
b'chr16'	5160000	6450000	1281	6.854094391269016e-09
b'chr16'	6450000	7740000	1691	1.0102276089740347e-08
b'chr16'	7740000	9030000	1223	8.678887856286152e-09
b'chr16'	9030000	10000000	920	5.87594558667935e-09
b'chr17'	0	1638000	1431	1.603026258115357e-08
b'chr17'	1638000	3276000	1748	1.583222169878415e-08
b'chr17'	3276000	4914000	1452	1.4062959466861868e-08
b'chr17'	4914000	6552000	1692	8.34654178123899e-09
b'chr17'	6552000	8190000	1472	2.158297531855169e-08
b'chr17'	8190000	9828000	1596	1.3075729180232723e-08
b'chr17'	9828000	10000000	107	6.639996182011734e-09
b'chr18'	0	1802000	1650	1.1274585133147819e-08
b'chr18'	1802000	3604000	1718	7.485012524404951e-09
b'chr18'	3604000	5406000	1444	1.0951568125198731e-08
b'chr18'	5406000	7208000	1749	7.872024449034964e-09
b'chr18'	7208000	9010000	1748	9.410150118122254e-09
b'chr18'	9010000	10000000	1148	5.560731776783846e-09
b'chr19'	0	1611000	1370	1.3504589964923321e-08
b'chr19'	1611000	3222000	1636	1.1511032744747545e-08
b'chr19'	3222000	4833000	1403	8.07231532853561e-09
b'chr19'	4833000	6444000	1369	1.2634310633009108e-08
b'chr19'	6444000	8055000	1646	1.2259885187674394e-08
b'chr19'	8055000	9666000	1745	1.5558637104524204e-08
b'chr19'	9666000	10000000	437	8.304540799951181e-09
b'chr20'	0	1895000	1750	1.0469616256078528e-08
b'chr20'	1895000	3790000	1498	8.534133642781338e-09
b'chr20'	3790000	5685000	1484	1.0296673047814804e-08
b'chr20'	5685000	7580000	1369	6.185959334215696e-09
b'chr20'	7580000	9475000	1396	1.0227305768201028e-08
b'chr20'	9475000	10000000	549	6.7476871450838115e-09
