chrom	start	end	nSites	recombRate
b'chr1'	0	623000	1121	8.36638273558967e-09
b'chr1'	623000	1246000	1153	6.326596961040963e-09
b'chr1'	1246000	1869000	1282	4.245233971480279e-09
b'chr1'	1869000	2492000	1451	4.872058801797974e-09
b'chr1'	2492000	3115000	1184	3.925832171063873e-09
b'chr1'	3115000	3738000	1441	3.640238537269112e-09
b'chr1'	3738000	4361000	1455	2.6632880754081847e-09
b'chr1'	4361000	4984000	1261	6.402604797900256e-09
b'chr1'	4984000	5607000	1390	1.3083272296995651e-09
b'chr1'	5607000	6230000	1290	2.463400782836908e-09
b'chr1'	6230000	6853000	1271	6.553220335425424e-09
b'chr1'	6853000	7476000	1432	4.5159818153039925e-09
b'chr1'	7476000	8099000	1750	3.198074906483586e-09
b'chr1'	8099000	8722000	1262	2.3998141098576142e-09
b'chr1'	8722000	9345000	1158	2.6716733699945105e-09
b'chr1'	9345000	9968000	1028	3.022815730148261e-09
b'chr1'	9968000	10000000	68	0
b'chr2'	0	778000	1741	1.0880619871402028e-08
b'chr2'	778000	1556000	1585	7.076570133825514e-09
b'chr2'	1556000	2334000	1561	5.762772050397557e-09
b'chr2'	2334000	3112000	1670	1.1825081585448857e-08
b'chr2'	3112000	3890000	1316	1.2018348500121083e-08
b'chr2'	3890000	4668000	1749	8.39425662209219e-09
b'chr2'	4668000	5446000	1504	9.511330137443436e-09
b'chr2'	5446000	6224000	1236	7.308424537544887e-10
b'chr2'	6224000	7002000	1305	1.3125850718043957e-09
b'chr2'	7002000	7780000	1215	6.863873534846412e-10
b'chr2'	7780000	8558000	1214	9.936287692677153e-10
b'chr2'	8558000	9336000	1229	3.286059883427911e-10
b'chr2'	9336000	10000000	1038	5.578759616294547e-10
b'chr3'	0	561000	1277	5.408939628133828e-09
b'chr3'	561000	1122000	1087	2.47987333858479e-09
b'chr3'	1122000	1683000	1309	2.886274510656078e-09
b'chr3'	1683000	2244000	1442	2.8583726835199876e-09
b'chr3'	2244000	2805000	1489	1.5695023020101634e-09
b'chr3'	2805000	3366000	1537	1.7517652638274392e-09
b'chr3'	3366000	3927000	1462	8.691982621714041e-10
b'chr3'	3927000	4488000	1451	5.114976144154256e-10
b'chr3'	4488000	5049000	1530	1.5391805055552865e-09
b'chr3'	5049000	5610000	1480	1.8607057941231346e-09
b'chr3'	5610000	6171000	1431	4.010948576294832e-10
b'chr3'	6171000	6732000	1741	6.827022943680279e-10
b'chr3'	6732000	7293000	1677	8.884710903061288e-10
b'chr3'	7293000	7854000	1181	1.5620902728265859e-09
b'chr3'	7854000	8415000	975	8.29985135211072e-10
b'chr3'	8415000	8976000	1214	1.2772525883956783e-09
b'chr3'	8976000	9537000	1118	2.688909636393349e-09
b'chr3'	9537000	10000000	1063	3.260360787744383e-09
b'chr4'	0	729000	1465	2.8469527256763037e-09
b'chr4'	729000	1458000	1750	2.9938878608571244e-09
b'chr4'	1458000	2187000	1261	6.997712352341918e-09
b'chr4'	2187000	2916000	1274	1.1108456334960727e-08
b'chr4'	2916000	3645000	1466	1.2649233259722476e-08
b'chr4'	3645000	4374000	1070	2.8171152335366698e-09
b'chr4'	4374000	5103000	1192	3.492080223240822e-09
b'chr4'	5103000	5832000	1418	7.943041778286887e-09
b'chr4'	5832000	6561000	1351	9.903612673972571e-10
b'chr4'	6561000	7290000	1186	1.8982378262969067e-09
b'chr4'	7290000	8019000	1148	0
b'chr4'	8019000	8748000	1592	1.6153901358792653e-09
b'chr4'	8748000	9477000	1422	7.95566318337415e-09
b'chr4'	9477000	10000000	1248	2.49065221411375e-09
b'chr5'	0	751000	1583	1.5300718590109433e-09
b'chr5'	751000	1502000	1751	4.225315326085891e-10
b'chr5'	1502000	2253000	1687	6.717914769583173e-10
b'chr5'	2253000	3004000	1744	2.1335336628905135e-09
b'chr5'	3004000	3755000	1437	2.1811755476449477e-09
b'chr5'	3755000	4506000	1654	4.6903717274837594e-09
b'chr5'	4506000	5257000	1674	1.3763766427632155e-09
b'chr5'	5257000	6008000	1649	2.636718085139009e-09
b'chr5'	6008000	6759000	1690	1.273874876248356e-09
b'chr5'	6759000	7510000	1741	4.058972394547422e-09
b'chr5'	7510000	8261000	1375	5.95003483336673e-09
b'chr5'	8261000	9012000	1400	8.902360069934043e-10
b'chr5'	9012000	9763000	1238	1.5781297487541073e-09
b'chr5'	9763000	10000000	294	4.6071551289903157e-10
b'chr6'	0	725000	1683	9.636479339725506e-09
b'chr6'	725000	1450000	1663	3.6179729568273802e-09
b'chr6'	1450000	2175000	1553	4.004481950053106e-09
b'chr6'	2175000	2900000	1559	7.17058105224945e-09
b'chr6'	2900000	3625000	1489	1.9864422814143572e-08
b'chr6'	3625000	4350000	1411	9.223484954260029e-09
b'chr6'	4350000	5075000	1746	4.847991050490878e-09
b'chr6'	5075000	5800000	1664	7.499035617943058e-09
b'chr6'	5800000	6525000	1513	6.283701879478861e-09
b'chr6'	6525000	7250000	1441	8.397292837606972e-09
b'chr6'	7250000	7975000	1707	1.5932571260385283e-08
b'chr6'	7975000	8700000	1505	1.1361120301661259e-09
b'chr6'	8700000	9425000	1420	6.107907866691283e-11
b'chr6'	9425000	10000000	1198	3.4348282346225036e-10
b'chr7'	0	666000	1638	5.231232541846143e-09
b'chr7'	666000	1332000	1412	6.23413209100799e-09
b'chr7'	1332000	1998000	1383	1.1940563328515151e-08
b'chr7'	1998000	2664000	1458	3.3058683185454284e-09
b'chr7'	2664000	3330000	1425	6.097101910428305e-09
b'chr7'	3330000	3996000	1763	4.8088431183422154e-09
b'chr7'	3996000	4662000	1379	4.316296316197401e-09
b'chr7'	4662000	5328000	1469	9.314459657169183e-09
b'chr7'	5328000	5994000	1490	3.297971985046608e-09
b'chr7'	5994000	6660000	1355	8.768378601101169e-09
b'chr7'	6660000	7326000	1346	1.0932985275487482e-08
b'chr7'	7326000	7992000	1225	8.576677914166372e-09
b'chr7'	7992000	8658000	1268	1.918229349617393e-09
b'chr7'	8658000	9324000	1543	5.164133110323929e-09
b'chr7'	9324000	9990000	1428	3.3911260573743433e-09
b'chr8'	0	679000	1185	1.4052113766091152e-09
b'chr8'	679000	1358000	1346	1.2013549696305161e-08
b'chr8'	1358000	2037000	1494	3.6958403980766107e-09
b'chr8'	2037000	2716000	1182	2.0430587086981195e-10
b'chr8'	2716000	3395000	1022	5.784728653439882e-10
b'chr8'	3395000	4074000	1254	2.1299355301894594e-09
b'chr8'	4074000	4753000	1450	2.8529801412406688e-09
b'chr8'	4753000	5432000	1747	4.534053196195141e-09
b'chr8'	5432000	6111000	1493	4.525835545410246e-09
b'chr8'	6111000	6790000	1332	6.353966363881772e-09
b'chr8'	6790000	7469000	1687	3.5212021247095414e-09
b'chr8'	7469000	8148000	1502	1.2932796462638347e-09
b'chr8'	8148000	8827000	1269	3.792145552968256e-09
b'chr8'	8827000	9506000	1303	6.0658922227288204e-09
b'chr8'	9506000	10000000	1047	2.871462870348285e-09
b'chr9'	0	472000	850	5.971136220742975e-09
b'chr9'	472000	944000	890	5.4742291275035686e-09
b'chr9'	944000	1416000	841	3.407226071341272e-09
b'chr9'	1416000	1888000	906	3.7192158425741004e-09
b'chr9'	1888000	2360000	1074	1.5755405833764717e-09
b'chr9'	2360000	2832000	1153	1.1371039226579168e-09
b'chr9'	2832000	3304000	1761	3.005984602936209e-09
b'chr9'	3304000	3776000	1181	6.757714649848496e-10
b'chr9'	3776000	4248000	713	4.290913802855015e-09
b'chr9'	4248000	4720000	986	0
b'chr9'	4720000	5192000	1079	0
b'chr9'	5192000	5664000	1127	7.40171442679883e-11
b'chr9'	5664000	6136000	1110	1.1929044724152575e-09
b'chr9'	6136000	6608000	1289	0
b'chr9'	6608000	7080000	1389	0
b'chr9'	7080000	7552000	1224	2.112320512979983e-09
b'chr9'	7552000	8024000	730	6.468218640898234e-10
b'chr9'	8024000	8496000	725	9.012741095116065e-10
b'chr9'	8496000	8968000	720	1.712819125143462e-09
b'chr9'	8968000	9440000	731	4.3994941312564543e-10
b'chr9'	9440000	9912000	689	5.853276341135573e-10
b'chr9'	9912000	10000000	132	9.799673517086192e-10
b'chr10'	0	524000	1054	2.2710978200229017e-09
b'chr10'	524000	1048000	1374	8.255261283617968e-09
b'chr10'	1048000	1572000	987	3.5478357575329646e-09
b'chr10'	1572000	2096000	947	3.5454809830258476e-09
b'chr10'	2096000	2620000	1172	4.186524413143963e-10
b'chr10'	2620000	3144000	929	4.215927351378505e-09
b'chr10'	3144000	3668000	1160	2.2283145009950895e-09
b'chr10'	3668000	4192000	1748	1.3684880705514978e-09
b'chr10'	4192000	4716000	1374	0
b'chr10'	4716000	5240000	1300	1.8821564394190275e-09
b'chr10'	5240000	5764000	1292	7.0800037272399814e-09
b'chr10'	5764000	6288000	772	2.579160379981499e-09
b'chr10'	6288000	6812000	1168	4.359818431584749e-10
b'chr10'	6812000	7336000	913	2.1447160471761543e-10
b'chr10'	7336000	7860000	986	1.4855406981274832e-09
b'chr10'	7860000	8384000	1073	2.3636806616198416e-09
b'chr10'	8384000	8908000	1161	1.8234811089186534e-09
b'chr10'	8908000	9432000	1073	2.488044343474391e-10
b'chr10'	9432000	9956000	1153	3.1878439778241167e-09
b'chr10'	9956000	10000000	115	2.8847129396909102e-09
b'chr11'	0	659000	1717	1.9843120525290857e-09
b'chr11'	659000	1318000	1401	5.465148421592796e-09
b'chr11'	1318000	1977000	1459	1.515030484604897e-09
b'chr11'	1977000	2636000	1595	6.048542641538271e-09
b'chr11'	2636000	3295000	1438	4.250974219421825e-09
b'chr11'	3295000	3954000	1758	6.692131851998933e-09
b'chr11'	3954000	4613000	1460	7.923820174647041e-09
b'chr11'	4613000	5272000	1158	5.695444437034506e-09
b'chr11'	5272000	5931000	1313	4.010892773200368e-09
b'chr11'	5931000	6590000	1316	8.175144621366226e-09
b'chr11'	6590000	7249000	1600	3.73062648687326e-09
b'chr11'	7249000	7908000	1475	3.945626557691936e-09
b'chr11'	7908000	8567000	1411	1.7747650698464026e-08
b'chr11'	8567000	9226000	1114	2.2900679579606012e-09
b'chr11'	9226000	9885000	1235	0
b'chr11'	9885000	10000000	165	8.977908438596823e-10
b'chr12'	0	695000	1361	8.506286066482288e-10
b'chr12'	695000	1390000	1357	2.7976592390263054e-09
b'chr12'	1390000	2085000	1400	4.155774271813675e-09
b'chr12'	2085000	2780000	1494	2.341151197416602e-09
b'chr12'	2780000	3475000	1750	2.6492587728403973e-09
b'chr12'	3475000	4170000	1518	6.7413290986888505e-09
b'chr12'	4170000	4865000	1459	6.385989434469673e-09
b'chr12'	4865000	5560000	1717	6.050947088282851e-09
b'chr12'	5560000	6255000	1419	8.488500379129221e-09
b'chr12'	6255000	6950000	1523	5.166933382710772e-09
b'chr12'	6950000	7645000	1678	9.071084320701119e-09
b'chr12'	7645000	8340000	1595	6.113689333225314e-09
b'chr12'	8340000	9035000	1519	7.68227960645018e-09
b'chr12'	9035000	9730000	1397	5.931167144418792e-09
b'chr12'	9730000	10000000	606	9.37620217016008e-10
b'chr13'	0	726000	1751	4.771107740446339e-09
b'chr13'	726000	1452000	1580	6.781974959248434e-09
b'chr13'	1452000	2178000	1592	1.726669848312272e-08
b'chr13'	2178000	2904000	1273	2.4622241717120587e-09
b'chr13'	2904000	3630000	1355	7.147765972680812e-09
b'chr13'	3630000	4356000	1352	2.64584691102982e-09
b'chr13'	4356000	5082000	1594	3.068750131739983e-09
b'chr13'	5082000	5808000	1525	4.586665409210477e-09
b'chr13'	5808000	6534000	1585	4.2416932723037885e-09
b'chr13'	6534000	7260000	1539	1.0947194639916065e-08
b'chr13'	7260000	7986000	1538	8.744452105219348e-09
b'chr13'	7986000	8712000	1573	6.735750285519052e-09
b'chr13'	8712000	9438000	1352	9.900599044363066e-09
b'chr13'	9438000	10000000	1091	4.69844036155627e-09
b'chr14'	0	712000	1601	3.0243447037075957e-09
b'chr14'	712000	1424000	1273	0
b'chr14'	1424000	2136000	1314	0
b'chr14'	2136000	2848000	1350	0
b'chr14'	2848000	3560000	1352	0
b'chr14'	3560000	4272000	1315	0
b'chr14'	4272000	4984000	1301	0
b'chr14'	4984000	5696000	1746	0
b'chr14'	5696000	6408000	1622	6.976179359230044e-10
b'chr14'	6408000	7120000	1512	2.6344657596216534e-09
b'chr14'	7120000	7832000	1347	2.7326646685664876e-09
b'chr14'	7832000	8544000	1582	6.3884947779465935e-09
b'chr14'	8544000	9256000	1551	9.053906961911585e-10
b'chr14'	9256000	9968000	1377	2.350306411683565e-09
b'chr14'	9968000	10000000	60	1.192060044378426e-09
b'chr15'	0	693000	1691	1.3215695377550877e-09
b'chr15'	693000	1386000	1326	4.9507070285297886e-09
b'chr15'	1386000	2079000	1682	8.162476570383665e-10
b'chr15'	2079000	2772000	1308	2.1310671258491105e-09
b'chr15'	2772000	3465000	1288	2.996039289642137e-09
b'chr15'	3465000	4158000	1753	3.966206386574846e-09
b'chr15'	4158000	4851000	1527	1.799646196224651e-09
b'chr15'	4851000	5544000	1652	4.314713013628344e-09
b'chr15'	5544000	6237000	1286	4.758717543542077e-10
b'chr15'	6237000	6930000	1620	4.26466202535707e-09
b'chr15'	6930000	7623000	1614	5.904738409574892e-09
b'chr15'	7623000	8316000	1394	5.318079792273803e-09
b'chr15'	8316000	9009000	1302	7.319153819009051e-09
b'chr15'	9009000	9702000	1407	1.9448552211537135e-09
b'chr15'	9702000	10000000	463	3.1654185148680603e-09
b'chr16'	0	650000	1458	1.003138837398305e-08
b'chr16'	650000	1300000	1305	3.3342420319373935e-09
b'chr16'	1300000	1950000	1273	4.585594351590233e-09
b'chr16'	1950000	2600000	1256	4.4157649717123214e-09
b'chr16'	2600000	3250000	1329	5.273607617172328e-09
b'chr16'	3250000	3900000	1749	3.899744932852515e-09
b'chr16'	3900000	4550000	1465	2.444505153255399e-09
b'chr16'	4550000	5200000	1546	3.0837682222847207e-09
b'chr16'	5200000	5850000	1328	6.446294635261725e-09
b'chr16'	5850000	6500000	1373	4.6655014590901865e-09
b'chr16'	6500000	7150000	1365	3.570539074567316e-09
b'chr16'	7150000	7800000	1113	4.187592444422054e-09
b'chr16'	7800000	8450000	1431	3.4757706545221084e-09
b'chr16'	8450000	9100000	1372	5.635445030954323e-09
b'chr16'	9100000	9750000	1351	7.42581408315382e-09
b'chr16'	9750000	10000000	607	3.4037365966596634e-09
b'chr17'	0	697000	1429	6.536513388807023e-09
b'chr17'	697000	1394000	1440	4.6147922354998806e-10
b'chr17'	1394000	2091000	1543	6.406634458164252e-09
b'chr17'	2091000	2788000	1312	0
b'chr17'	2788000	3485000	1415	6.8265542401119325e-09
b'chr17'	3485000	4182000	1726	5.489588714680849e-09
b'chr17'	4182000	4879000	1454	8.124668314561698e-09
b'chr17'	4879000	5576000	1570	5.484397887693529e-10
b'chr17'	5576000	6273000	1750	3.1855218007228327e-09
b'chr17'	6273000	6970000	1375	9.281590606287028e-09
b'chr17'	6970000	7667000	1256	4.276303956011907e-09
b'chr17'	7667000	8364000	1497	3.1003540928243108e-09
b'chr17'	8364000	9061000	1590	4.008351727802774e-09
b'chr17'	9061000	9758000	1724	5.516199063642964e-09
b'chr17'	9758000	10000000	527	1.536175335188921e-09
b'chr18'	0	786000	1517	0
b'chr18'	786000	1572000	1393	0
b'chr18'	1572000	2358000	1389	0
b'chr18'	2358000	3144000	1435	0
b'chr18'	3144000	3930000	1375	0
b'chr18'	3930000	4716000	1439	0
b'chr18'	4716000	5502000	1390	0
b'chr18'	5502000	6288000	1396	0
b'chr18'	6288000	7074000	1473	0
b'chr18'	7074000	7860000	1488	0
b'chr18'	7860000	8646000	1495	0
b'chr18'	8646000	9432000	1754	1.5730662850479658e-09
b'chr18'	9432000	10000000	1520	4.114509060543255e-09
b'chr19'	0	318000	1645	5.549421951044362e-10
b'chr19'	318000	636000	1750	4.375294438068591e-10
b'chr19'	636000	954000	1683	7.716854510064952e-10
b'chr19'	954000	1272000	1678	5.543725166310593e-10
b'chr19'	1272000	1590000	1724	1.9789504772255007e-10
b'chr19'	1590000	1908000	1616	3.762013053746019e-10
b'chr19'	1908000	2226000	1677	6.646604063678752e-10
b'chr19'	2226000	2544000	1743	7.655012574426459e-10
b'chr19'	2544000	2862000	1700	7.675424759507945e-10
b'chr19'	2862000	3180000	1737	9.44402029686805e-10
b'chr19'	3180000	3498000	1698	9.794488977301246e-10
b'chr19'	3498000	3816000	1726	7.013309356731884e-10
b'chr19'	3816000	4134000	1667	6.000585570354756e-10
b'chr19'	4134000	4452000	1688	4.413805944674779e-10
b'chr19'	4452000	4770000	1667	9.053906961911585e-10
b'chr19'	4770000	5088000	1578	1.0415702397043309e-09
b'chr19'	5088000	5406000	663	1.214052427514122e-09
b'chr19'	5406000	5724000	715	5.281241619167059e-09
b'chr19'	5724000	6042000	670	7.60919622257138e-09
b'chr19'	6042000	6360000	634	9.368344721269446e-09
