chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'chr1'	0	1705000	1750	1.8633169492689062e-08	1.2301184067810167e-08	2.812541355012982e-08
b'chr1'	1705000	3410000	1602	1.5107033201730126e-08	9.835765246265617e-09	2.273039980637781e-08
b'chr1'	3410000	5115000	1603	1.3503745238289724e-08	8.82160158772021e-09	2.0674816708258814e-08
b'chr1'	5115000	6820000	1494	1.8904594403229908e-08	1.255180979375416e-08	2.8270573595440622e-08
b'chr1'	6820000	8525000	1516	1.5886671234402957e-08	1.0370042835864343e-08	2.4725362746428277e-08
b'chr1'	8525000	10000000	1424	1.368482848446731e-08	9.002684833897795e-09	2.0855899954436397e-08
b'chr2'	0	1637000	1750	5.38168234978303e-09	2.315482522410146e-09	9.429164676857223e-09
b'chr2'	1637000	3274000	1060	5.561949108557359e-09	2.4957492811844745e-09	9.609431435631551e-09
b'chr2'	3274000	4911000	1738	1.2433515186084748e-08	7.68614748713074e-09	1.9206446912657755e-08
b'chr2'	4911000	6548000	1649	1.328805053227531e-08	8.605906881705795e-09	2.0459122002244396e-08
b'chr2'	6548000	8185000	1314	6.782377886296743e-09	3.4867938584008725e-09	1.1123068182386375e-08
b'chr2'	8185000	9822000	1321	8.151326938839162e-09	4.5074794484303595e-09	1.3062117757274534e-08
b'chr2'	9822000	10000000	99	7.397182435748916e-09	3.6370365966110533e-09	1.2023108189314156e-08
b'chr3'	0	1607000	1305	1.4953192417407566e-08	9.000520550869427e-09	2.310505071690639e-08
b'chr3'	1607000	3214000	1632	1.045521692875865e-08	6.09765919189157e-09	1.6434298158881678e-08
b'chr3'	3214000	4821000	1500	1.8795150553465567e-08	1.244236594398982e-08	2.816112974567628e-08
b'chr3'	4821000	6428000	1574	1.2634023381624284e-08	7.886655682670276e-09	1.9406955108197287e-08
b'chr3'	6428000	8035000	1747	1.3531055655348549e-08	8.848912004779035e-09	2.0702127125317638e-08
b'chr3'	8035000	9642000	1590	1.3823488749100648e-08	8.714953554236331e-09	2.183024085487204e-08
b'chr3'	9642000	10000000	366	5.7667450772006866e-09	2.5356043000405512e-09	9.576791133630115e-09
b'chr4'	0	1629000	1316	7.0292927702838255e-09	3.269146931145963e-09	1.1655218523849066e-08
b'chr4'	1629000	3258000	1749	7.4120344347496464e-09	3.651888595611784e-09	1.2037960188314888e-08
b'chr4'	3258000	4887000	1518	8.801067409175698e-09	4.761292361360757e-09	1.4332132503997185e-08
b'chr4'	4887000	6516000	1253	1.0119281258426245e-08	5.761723521559166e-09	1.6098362488549274e-08
b'chr4'	6516000	8145000	1659	1.2242303216958394e-08	7.467148833939607e-09	1.8887476295426188e-08
b'chr4'	8145000	9774000	1699	7.810131127897848e-09	4.210695089782548e-09	1.2410903801843943e-08
b'chr4'	9774000	10000000	213	5.448145355762782e-09	2.381945528389898e-09	9.495627682836975e-09
b'chr5'	0	1607000	1366	1.3571412796027894e-08	8.88926914545838e-09	2.0742484265996983e-08
b'chr5'	1607000	3214000	1492	8.914895998089005e-09	4.8751209502740635e-09	1.4445961092910491e-08
b'chr5'	3214000	4821000	1509	8.921306821236269e-09	4.881531773421327e-09	1.4452371916057755e-08
b'chr5'	4821000	6428000	1406	8.336081866734103e-09	4.764198189012005e-09	1.3109859106908685e-08
