chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'chr1'	0	3037000	1650	1.8900476308878608e-08	1.17520935564809e-08	2.9280201210688655e-08
b'chr1'	3037000	6074000	1697	1.1576469468872053e-08	7.327548165187571e-09	1.9396258329757576e-08
b'chr1'	6074000	9111000	1750	1.4751595902206725e-08	8.764509519986939e-09	2.5164891239337255e-08
b'chr1'	9111000	10000000	559	8.112428095787274e-09	4.888506654867067e-09	1.4235919454210211e-08
b'chr2'	0	2939000	1619	1.3025514808138537e-08	7.729061065884577e-09	2.1978890893113246e-08
b'chr2'	2939000	5878000	1749	1.0675363998974048e-08	6.432719763044032e-09	1.915989969521446e-08
b'chr2'	5878000	8817000	1707	1.2090730042128087e-08	7.67427521805371e-09	2.141977167022031e-08
b'chr2'	8817000	10000000	723	5.560880429894683e-09	3.021971613376268e-09	9.91285740868388e-09
b'chr3'	0	2944000	1634	1.4758428939372404e-08	8.771342557152618e-09	2.5171724276502934e-08
b'chr3'	2944000	5888000	1750	1.1580601578125811e-08	7.331680274441328e-09	1.9400390439011334e-08
b'chr3'	5888000	8832000	1669	9.610620009761556e-09	6.20446816030053e-09	1.711396373388609e-08
b'chr3'	8832000	10000000	640	9.386032420984266e-09	5.979880571523241e-09	1.68893761451088e-08
b'chr4'	0	2818000	1504	1.0186254871059158e-08	6.12460025841764e-09	1.7311738940507062e-08
b'chr4'	2818000	5636000	1673	1.2386961296026528e-08	7.97050647195215e-09	2.1716002924118754e-08
b'chr4'	5636000	8454000	1751	1.1618159222547022e-08	7.36923791886254e-09	1.9437948083432542e-08
b'chr4'	8454000	10000000	936	4.425399821350355e-09	2.0351338362087727e-09	8.590469044200446e-09
b'chr5'	0	2885000	1637	8.325967492373123e-09	5.102046051452915e-09	1.444945885079606e-08
b'chr5'	2885000	5770000	1732	1.397503812083188e-08	8.690408187176798e-09	2.3773350859783033e-08
b'chr5'	5770000	8655000	1750	8.048617897739405e-09	4.824696456819198e-09	1.4172109256162342e-08
b'chr5'	8655000	10000000	810	8.242162666489928e-09	5.018241225569721e-09	1.4365654024912865e-08
b'chr6'	0	2930000	1750	1.0544772006218394e-08	6.483117393576876e-09	1.76702560756663e-08
b'chr6'	2930000	5860000	1685	1.2054392472039501e-08	7.637937647965124e-09	2.1383434100131728e-08
b'chr6'	5860000	8790000	1717	6.890358427394974e-09	3.795542290699929e-09	1.2654375491042459e-08
b'chr6'	8790000	10000000	670	4.742718066560345e-09	2.188658258469475e-09	9.21981336105759e-09
b'chr7'	0	2942000	1750	1.8699633474380042e-08	1.2075102772609105e-08	2.935142270281306e-08
b'chr7'	2942000	5884000	1737	8.983899714162671e-09	5.365118705977092e-09	1.5752815941691284e-08
b'chr7'	5884000	8826000	1705	5.383576930536369e-09	2.8446681140179536e-09	9.735553909325565e-09
b'chr7'	8826000	10000000	648	9.83103656966568e-09	5.768803175556963e-09	1.7535744952071237e-08
b'chr8'	0	2723000	1687	2.14204318637415e-08	1.3595464411966534e-08	3.127147699892003e-08
b'chr8'	2723000	5446000	1752	9.648384104419713e-09	6.242232254958688e-09	1.7151727828544246e-08
b'chr8'	5446000	8169000	1736	7.556780913662998e-09	4.301448154751676e-09	1.327025953721098e-08
b'chr8'	8169000	10000000	1112	5.4033185404121275e-09	2.8644097238937125e-09	9.755295519201324e-09
b'chr9'	0	2872000	1735	1.361524844858693e-08	8.027211459896227e-09	2.334098919467849e-08
b'chr9'	2872000	5744000	1749	1.2372335508278123e-08	7.701064293993224e-09	2.1686283077034597e-08
