chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'chr1'	0	767000	1719	1.0200154500723649e-08	6.864773240651381e-09	1.583548514729316e-08
b'chr1'	767000	1534000	1628	1.2434271557643366e-08	8.534857388304e-09	1.8243744371565778e-08
b'chr1'	1534000	2301000	1656	1.0104207582881832e-08	6.6159774337084e-09	1.5258505549096303e-08
b'chr1'	2301000	3068000	1533	1.4624121681561904e-08	9.979584793141201e-09	2.207681467763023e-08
b'chr1'	3068000	3835000	1536	9.990489204245391e-09	6.502259055071959e-09	1.514478717045986e-08
b'chr1'	3835000	4602000	1547	6.631701030059153e-09	3.9159630400147214e-09	1.0216800824870849e-08
b'chr1'	4602000	5369000	1665	1.223830997011552e-08	7.966320541243217e-09	1.8707468245850314e-08
b'chr1'	5369000	6136000	1715	1.4483989423515518e-08	9.700753904736168e-09	2.2318154384711225e-08
b'chr1'	6136000	6903000	1472	1.2293448436056335e-08	8.394034266716969e-09	1.8102921249978744e-08
b'chr1'	6903000	7670000	1612	1.7464524786545486e-08	1.1874463417191682e-08	2.6378179845052204e-08
b'chr1'	7670000	8437000	1691	1.7329893703040648e-08	1.1769738922003762e-08	2.6384047263269068e-08
b'chr1'	8437000	9204000	1749	1.2418254589448442e-08	8.518840420109075e-09	1.8227727403370852e-08
b'chr1'	9204000	9971000	1725	1.3643711757921053e-08	9.018106370311797e-09	1.993441265145084e-08
b'chr1'	9971000	10000000	72	8.006893132373425e-09	4.9220281466927e-09	1.2664228960479992e-08
b'chr2'	0	772000	1560	1.0482770904785614e-08	7.147389644713346e-09	1.6118101551355128e-08
b'chr2'	772000	1544000	1591	7.551529512114296e-09	4.53709338917535e-09	1.1677250388161306e-08
b'chr2'	1544000	2316000	1752	1.2758127606754932e-08	8.48613817788263e-09	1.9227285882489725e-08
b'chr2'	2316000	3088000	1524	1.1795696386315907e-08	7.777978761056087e-09	1.7659193096705783e-08
b'chr2'	3088000	3860000	1593	5.919993655096738e-09	3.2110099954806e-09	9.096848212293143e-09
b'chr2'	3860000	4632000	1430	9.127859095577099e-09	5.785886485816552e-09	1.364178677166348e-08
b'chr2'	4632000	5404000	1619	1.1170704883882917e-08	7.27133938672095e-09	1.7521432472138637e-08
b'chr2'	5404000	6176000	1464	8.590562340236816e-09	5.271499049362647e-09	1.2667371164097562e-08
b'chr2'	6176000	6948000	1505	1.2140019431956248e-08	8.240605262616882e-09	1.7949492245878658e-08
b'chr2'	6948000	7720000	1639	1.2446168880670518e-08	8.174179451798216e-09	1.891532715640531e-08
b'chr2'	7720000	8492000	1725	7.2857701687160725e-09	4.414826064044592e-09	1.0831096334692877e-08
b'chr2'	8492000	9264000	1688	9.24199764224431e-09	5.749717488294886e-09	1.3969849396782246e-08
b'chr2'	9264000	10000000	1557	1.03087682808323e-08	6.973387020760032e-09	1.5944098927401814e-08
b'chr3'	0	790000	1749	1.6936005666101533e-08	1.1375850885064648e-08	2.5990159226329954e-08
b'chr3'	790000	1580000	1617	1.5917790980749886e-08	1.063033501879454e-08	2.37770412091424e-08
b'chr3'	1580000	2370000	1553	1.3811537066596122e-08	9.356461136208714e-09	1.995559122092951e-08
b'chr3'	2370000	3160000	1580	1.134523760374538e-08	7.445872106583415e-09	1.76959651920011e-08
b'chr3'	3160000	3950000	1646	1.0337450893450975e-08	7.002069633378707e-09	1.597278154002049e-08
b'chr3'	3950000	4740000	1532	1.736869742210628e-08	1.1808542641069395e-08	2.64228509823347e-08
b'chr3'	4740000	5530000	1651	1.0678047453854654e-08	6.834954587692075e-09	1.5868723653827805e-08
b'chr3'	5530000	6320000	1697	9.954206739295239e-09	6.4659765901218064e-09	1.510850470550971e-08
b'chr3'	6320000	7110000	1712	1.3276146309762015e-08	9.063575462056138e-09	1.9769997322241026e-08
b'chr3'	7110000	7900000	1608	1.3831507634441428e-08	9.37643170405402e-09	1.9975561788774817e-08
b'chr3'	7900000	8690000	1606	1.0045049500323637e-08	6.5568193511502045e-09	1.5199347466538108e-08
b'chr3'	8690000	9480000	1691	1.059818745304024e-08	7.262806192967973e-09	1.6233518099609755e-08
b'chr3'	9480000	10000000	931	1.0705111061983596e-08	6.862018195821017e-09	1.5895787261956748e-08
b'chr4'	0	732000	1731	1.2087584952415575e-08	8.188170783076209e-09	1.7897057766337984e-08
b'chr4'	732000	1464000	1568	9.199085979580808e-09	5.857113369820261e-09	1.3713013655667188e-08
b'chr4'	1464000	2196000	1509	8.426305564499021e-09	5.1072422736248525e-09	1.2503114388359767e-08
b'chr4'	2196000	2928000	1524	7.530369138956066e-09	4.515933016017121e-09	1.1656090015003077e-08
b'chr4'	2928000	3660000	1632	1.0549220716577288e-08	7.2138394565050205e-09	1.6184551363146802e-08
b'chr4'	3660000	4392000	1590	6.8283503136509674e-09	4.112612323606536e-09	1.0413450108462663e-08
b'chr4'	4392000	5124000	1454	1.04334161039675e-08	7.098034843895233e-09	1.6068746750537017e-08
b'chr4'	5124000	5856000	1428	1.2059381211211169e-08	8.159967041871803e-09	1.7868854025133578e-08
b'chr4'	5856000	6588000	1614	9.471677411490024e-09	5.9793972575406e-09	1.419952916602796e-08
b'chr4'	6588000	7320000	1549	1.0691041400722871e-08	6.847948534560292e-09	1.5881717600696022e-08
b'chr4'	7320000	8052000	1655	9.03208015595105e-09	5.690107546190503e-09	1.354600783203743e-08
b'chr4'	8052000	8784000	1761	1.2466901560882741e-08	8.567487391543375e-09	1.8276374374805152e-08
b'chr4'	8784000	9516000	1550	8.529921851841906e-09	5.210858560967737e-09	1.2606730675702652e-08
b'chr4'	9516000	10000000	1232	8.08069055466572e-09	4.995825568984996e-09	1.2738026382772288e-08
b'chr5'	0	743000	1454	1.2571701490535486e-08	8.299712061663184e-09	1.904085976627028e-08
b'chr5'	743000	1486000	1552	1.1066712950244236e-08	7.16734745308227e-09	1.7417440538499956e-08
b'chr5'	1486000	2229000	1351	6.524383050194499e-09	3.6301763536702062e-09	1.0121623355825076e-08
b'chr5'	2229000	2972000	1537	9.206876759575025e-09	5.864904149814478e-09	1.3720804435661405e-08
b'chr5'	2972000	3715000	1651	1.0143557642909519e-08	6.808176382837251e-09	1.577888828947903e-08
b'chr5'	3715000	4458000	1753	9.40017267340802e-09	5.907892519458596e-09	1.4128024427945957e-08
b'chr5'	4458000	5201000	1628	7.281600805284223e-09	4.410656700612743e-09	1.0826926971261027e-08
b'chr5'	5201000	5944000	1581	8.980329445804171e-09	5.6383568360436244e-09	1.3494257121890552e-08
b'chr5'	5944000	6687000	1683	9.523856544685e-09	6.031576390735577e-09	1.4251708299222937e-08
b'chr5'	6687000	7430000	1436	5.919695621671975e-09	3.210711962055837e-09	9.09655017886838e-09
b'chr5'	7430000	8173000	1507	1.1666692928858377e-08	7.648975303598557e-09	1.7530189639248254e-08
b'chr5'	8173000	8916000	1619	1.3253498873994806e-08	9.04092802628893e-09	1.9747349886473816e-08
b'chr5'	8916000	9659000	1453	5.22796665153533e-09	2.5916799514824374e-09	8.276186150570883e-09
b'chr5'	9659000	10000000	757	6.618196390499544e-09	3.902458400455113e-09	1.020329618531124e-08
b'chr6'	0	759000	1570	1.033437897601552e-08	6.998997715943252e-09	1.5969709622585032e-08
b'chr6'	759000	1518000	1688	1.2431196581719688e-08	8.159207152847385e-09	1.890035485745448e-08
b'chr6'	1518000	2277000	1747	9.145798534587492e-09	5.803825924826945e-09	1.3659726210673872e-08
b'chr6'	2277000	3036000	1547	7.509087689719026e-09	4.4946515667800805e-09	1.1634808565766037e-08
b'chr6'	3036000	3795000	1681	1.1974858466270926e-08	8.075444296931559e-09	1.7784331280193336e-08
b'chr6'	3795000	4554000	1676	1.2364677694472794e-08	8.092688265600491e-09	1.883383597020759e-08
b'chr6'	4554000	5313000	1589	1.0533634499816594e-08	7.198253239744326e-09	1.616896514638611e-08
b'chr6'	5313000	6072000	1610	9.26097758745676e-09	5.919004977696213e-09	1.377490526354314e-08
b'chr6'	6072000	6831000	1655	8.4906202462086e-09	5.171556955334431e-09	1.2567429070069345e-08
b'chr6'	6831000	7590000	1675	7.488588578221992e-09	4.474152455283046e-09	1.1614309454269002e-08
b'chr6'	7590000	8349000	1410	8.39948255627028e-09	5.08041926539611e-09	1.2476291380131025e-08
b'chr6'	8349000	9108000	1667	1.0217493216112252e-08	6.8821119560399845e-09	1.5852823862681765e-08
b'chr6'	9108000	9867000	1555	9.490045273548513e-09	5.99776511959909e-09	1.421789702808645e-08
b'chr6'	9867000	10000000	337	1.0648772655030002e-08	6.805679788867423e-09	1.5839448855003154e-08
b'chr7'	0	714000	1485	6.534324817547264e-09	3.818586827502832e-09	1.011942461235896e-08
b'chr7'	714000	1428000	1597	7.466149144949148e-09	4.451713022010203e-09	1.1591870020996159e-08
b'chr7'	1428000	2142000	1476	1.0194364580544645e-08	6.858983320472377e-09	1.582969522711416e-08
b'chr7'	2142000	2856000	1383	1.1321787650891699e-08	7.4224221537297325e-09	1.767251523914742e-08
b'chr7'	2856000	3570000	1421	8.544334561992594e-09	5.225271271118425e-09	1.2621143385853339e-08
b'chr7'	3570000	4284000	1469	7.513027319052623e-09	4.498591196113677e-09	1.1638748195099633e-08
b'chr7'	4284000	4998000	1420	8.286106988169335e-09	5.201242002488611e-09	1.2943442816275903e-08
b'chr7'	4998000	5712000	1586	1.308906979768332e-08	8.876498949977443e-09	1.958292081016233e-08
b'chr7'	5712000	6426000	1581	1.2743906600395695e-08	8.471917171523392e-09	1.921306487613049e-08
b'chr7'	6426000	7140000	1532	1.0562457591731838e-08	7.22707633165957e-09	1.6197788238301353e-08
b'chr7'	7140000	7854000	1749	1.247361507422703e-08	8.574200904887664e-09	1.828308788814944e-08
