chrom	start	end	nSites	recombRate
b'chr1'	0	767000	1719	9.419493155537115e-09
b'chr1'	767000	1534000	1628	1.1641281112656433e-08
b'chr1'	1534000	2301000	1656	9.288266865453221e-09
b'chr1'	2301000	3068000	1533	1.4051222072375662e-08
b'chr1'	3068000	3835000	1536	9.17454848681678e-09
b'chr1'	3835000	4602000	1547	6.00150613717789e-09
b'chr1'	4602000	5369000	1665	1.1718921148193536e-08
b'chr1'	5369000	6136000	1715	1.3903906634126785e-08
b'chr1'	6136000	6903000	1472	1.1500457991069402e-08
b'chr1'	6903000	7670000	1612	1.7325154169198075e-08
b'chr1'	7670000	8437000	1691	1.7056130107239985e-08
b'chr1'	8437000	9204000	1749	1.1625264144461509e-08
b'chr1'	9204000	9971000	1725	1.3065554908969106e-08
b'chr1'	9971000	10000000	72	7.2103700667128396e-09
b'chr2'	0	772000	1560	9.70210955959908e-09
b'chr2'	772000	1544000	1591	6.904684012865249e-09
b'chr2'	1544000	2316000	1752	1.223873878483295e-08
b'chr2'	2316000	3088000	1524	1.1002295121576695e-08
b'chr2'	3088000	3860000	1593	5.245243217324884e-09
b'chr2'	3860000	4632000	1430	8.423077385621303e-09
b'chr2'	4632000	5404000	1619	1.0416833294746921e-08
b'chr2'	5404000	6176000	1464	7.84666832406873e-09
b'chr2'	6176000	6948000	1505	1.1347028986969315e-08
b'chr2'	6948000	7720000	1639	1.1926780058748535e-08
b'chr2'	7720000	8492000	1725	6.64063881658388e-09
b'chr2'	8492000	9264000	1688	8.639378248158479e-09
b'chr2'	9264000	10000000	1557	9.528106935645766e-09
b'chr3'	0	790000	1749	1.666224207030087e-08
b'chr3'	790000	1580000	1617	1.5609411444753495e-08
b'chr3'	1580000	2370000	1553	1.3327701694425027e-08
b'chr3'	2370000	3160000	1580	1.0591366014609386e-08
b'chr3'	3160000	3950000	1646	9.55678954826444e-09
b'chr3'	3950000	4740000	1532	1.7094933826305618e-08
b'chr3'	4740000	5530000	1651	1.0003692220955194e-08
b'chr3'	5530000	6320000	1697	9.138266021866628e-09
b'chr3'	6320000	7110000	1712	1.266185699319587e-08
b'chr3'	7110000	7900000	1608	1.3347672262270333e-08
b'chr3'	7900000	8690000	1606	9.229108782895026e-09
b'chr3'	8690000	9480000	1691	9.817526107853706e-09
b'chr3'	9480000	10000000	931	1.0030755829084136e-08
b'chr4'	0	732000	1731	1.1294594507428642e-08
b'chr4'	732000	1464000	1568	8.494304269625012e-09
b'chr4'	1464000	2196000	1509	7.682411548330935e-09
b'chr4'	2196000	2928000	1524	6.8835236397070196e-09
b'chr4'	2928000	3660000	1632	9.768559371390754e-09
b'chr4'	3660000	4392000	1590	6.198155420769705e-09
b'chr4'	4392000	5124000	1454	9.652754758780966e-09
b'chr4'	5124000	5856000	1428	1.1266390766224236e-08
b'chr4'	5856000	6588000	1614	8.869058017404193e-09
b'chr4'	6588000	7320000	1549	1.0016686167823411e-08
b'chr4'	7320000	8052000	1655	8.327298445995254e-09
b'chr4'	8052000	8784000	1761	1.1673911115895808e-08
b'chr4'	8784000	9516000	1550	7.78602783567382e-09
b'chr4'	9516000	10000000	1232	7.284167489005135e-09
b'chr5'	0	743000	1454	1.2052312668613503e-08
b'chr5'	743000	1486000	1552	1.0312841361108241e-08
b'chr5'	1486000	2229000	1351	5.851612399353324e-09
b'chr5'	2229000	2972000	1537	8.50209504961923e-09
b'chr5'	2972000	3715000	1651	9.362896297722984e-09
b'chr5'	3715000	4458000	1753	8.797553279322189e-09
b'chr5'	4458000	5201000	1628	6.63646945315203e-09
b'chr5'	5201000	5944000	1581	8.275547735848375e-09
b'chr5'	5944000	6687000	1683	8.92123715059917e-09
b'chr5'	6687000	7430000	1436	5.244945183900121e-09
b'chr5'	7430000	8173000	1507	1.0873291664119164e-08
b'chr5'	8173000	8916000	1619	1.2639209557428662e-08
b'chr5'	8916000	9659000	1453	4.631443379023817e-09
b'chr5'	9659000	10000000	757	5.9880014976182816e-09
b'chr6'	0	759000	1570	9.553717630828985e-09
b'chr6'	759000	1518000	1688	1.1911807759797705e-08
b'chr6'	1518000	2277000	1747	8.441016824631696e-09
b'chr6'	2277000	3036000	1547	6.862242190469979e-09
b'chr6'	3036000	3795000	1681	1.1181868021283992e-08
b'chr6'	3795000	4554000	1676	1.1845288872550811e-08
b'chr6'	4554000	5313000	1589	9.75297315463006e-09
b'chr6'	5313000	6072000	1610	8.556195877500964e-09
b'chr6'	6072000	6831000	1655	7.746726230040513e-09
b'chr6'	6831000	7590000	1675	6.841743078972945e-09
b'chr6'	7590000	8349000	1410	7.655588540102193e-09
b'chr6'	8349000	9108000	1667	9.436831870925718e-09
b'chr6'	9108000	9867000	1555	8.887425879462683e-09
b'chr6'	9867000	10000000	337	9.974417422130542e-09
b'chr7'	0	714000	1485	5.904129924666001e-09
b'chr7'	714000	1428000	1597	6.8193036457001015e-09
b'chr7'	1428000	2142000	1476	9.41370323535811e-09
b'chr7'	2142000	2856000	1383	1.0567916061755704e-08
b'chr7'	2856000	3570000	1421	7.800440545824507e-09
b'chr7'	3570000	4284000	1469	6.866181819803576e-09
b'chr7'	4284000	4998000	1420	7.48958392250875e-09
b'chr7'	4998000	5712000	1586	1.2474780481117176e-08
b'chr7'	5712000	6426000	1581	1.2224517778473712e-08
b'chr7'	6426000	7140000	1532	9.781796246545303e-09
b'chr7'	7140000	7854000	1749	1.1680624629240097e-08
b'chr7'	7854000	8568000	1470	9.041892567648471e-09
b'chr7'	8568000	9282000	1548	1.1007958532775917e-08
b'chr7'	9282000	9996000	1485	9.310133515737846e-09
b'chr8'	0	731000	1537	6.755417387038623e-09
b'chr8'	731000	1462000	1418	7.813124041208596e-09
b'chr8'	1462000	2193000	1711	1.0109689671181348e-08
b'chr8'	2193000	2924000	1628	1.3932245421726788e-08
b'chr8'	2924000	3655000	1754	6.390834029879505e-09
b'chr8'	3655000	4386000	1611	6.280990085764996e-09
b'chr8'	4386000	5117000	1683	1.0593177499019278e-08
b'chr8'	5117000	5848000	1630	9.233801257077634e-09
b'chr8'	5848000	6579000	1541	7.488537701007236e-09
