chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'chr1'	0	625000	1501	4.354187147501308e-09	1.960933063702329e-09	7.264100413404038e-09
b'chr1'	625000	1250000	1264	6.570063875275332e-09	3.6783553137832087e-09	9.875301025916792e-09
b'chr1'	1250000	1875000	1589	4.7630775616686466e-09	2.4641543321086005e-09	7.983222823219657e-09
b'chr1'	1875000	2500000	1139	5.847307426401244e-09	3.198021169361937e-09	9.231793428967933e-09
b'chr1'	2500000	3125000	1759	7.142605116361934e-09	4.231646042574467e-09	1.1059493463361699e-08
b'chr1'	3125000	3750000	1247	4.177971591763452e-09	2.1374645839578933e-09	7.0454144971044735e-09
b'chr1'	3750000	4375000	1285	3.5359509389564637e-09	1.3988392957486187e-09	6.4093330489810996e-09
b'chr1'	4375000	5000000	1288	3.757872525613794e-09	1.6207608824059486e-09	6.631254635638429e-09
b'chr1'	5000000	5625000	1257	2.7802263260765037e-09	9.296668870559322e-10	5.281944447626814e-09
b'chr1'	5625000	6250000	1266	3.4301661479969403e-09	1.2930545047890953e-09	6.303548258021576e-09
b'chr1'	6250000	6875000	1376	2.873912822699524e-09	1.0233533836789525e-09	5.375630944249834e-09
b'chr1'	6875000	7500000	1194	2.4350608129796292e-09	4.924062424381936e-10	4.829421433862791e-09
b'chr1'	7500000	8125000	1168	5.543563923512082e-09	2.9572728755219515e-09	8.626623264670017e-09
b'chr1'	8125000	8750000	1216	2.48897160946865e-09	6.384121704480786e-10	4.9906897310189605e-09
b'chr1'	8750000	9375000	1331	2.9439852994220667e-09	8.092749797986439e-10	5.537544711100891e-09
b'chr1'	9375000	10000000	1259	2.893691686753378e-09	1.0431322477328067e-09	5.3954098083036886e-09
b'chr2'	0	747000	1536	1.3701203862970739e-08	9.091499222746928e-09	2.0883191312171472e-08
b'chr2'	747000	1494000	1690	7.3244086099827005e-09	4.413449536195234e-09	1.1241296956982466e-08
b'chr2'	1494000	2241000	1748	6.919113792426055e-09	4.0274052309339315e-09	1.0224350943067515e-08
b'chr2'	2241000	2988000	1717	1.367765999854311e-08	9.067955358319298e-09	2.0859647447743842e-08
b'chr2'	2988000	3735000	1429	7.682446177087827e-09	4.7329673381450175e-09	1.181915926027935e-08
b'chr2'	3735000	4482000	1571	1.075539391089056e-08	6.893728434611474e-09	1.6483279543357735e-08
b'chr2'	4482000	5229000	1636	1.603630197001756e-08	1.1030819941153921e-08	2.4131978410351487e-08
